place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJ_9qZv87PwxUR9wFwLpakfpQ,القهوة الأفضل,null,,357,"Name: القهوة الإيطالية
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%A5%D9%8A%D8%B7%D8%A7%D9%84%D9%8A%D8%A9/@21.512927899999998,39.1893864?authuser=0&hl=ar&entry=ttu
Reviews: 106 reviews

Name: أسرار القهوة
Link: https://www.google.com/maps/search/%D8%A3%D8%B3%D8%B1%D8%A7%D8%B1+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9/@21.5373822,39.1790197?authuser=0&hl=ar&entry=ttu
Reviews: 29 reviews

Name: عالم القهوة
Link: https://www.google.com/maps/search/%D8%B9%D8%A7%D9%84%D9%85+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9/@21.560808899999998,39.1850966?authuser=0&hl=ar&entry=ttu
Reviews: 24 reviews

Name: القهوة
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9/@21.605690199999998,39.164069?authuser=0&hl=ar&entry=ttu
Reviews: 11 reviews

Name: Dallol Coffee shop
Link: https://www.google.com/maps/search/Dallol+Coffee+shop/@21.537670300000002,39.1987731?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews",null,050 803 2666,1,القهوة الأفضل (المالك),null,https://lh3.ggpht.com/p/AF1QipPkCJU7P527QdmTD7MUE-G4ySb2caYjkASkjdFW=s1024,كافيه,كافيه,4.1,نعمل على مدار 24 ساعة,,Open All Days,3558 محمد الطويل، مشرفة، جدة 23332,"الاسعار, جميل, جدا, مستوى, جودة, مكان هادئ, التدخين, الكرواسون, للفندق, التجارية",https://www.google.com/maps/place/%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%A3%D9%81%D8%B6%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3cfcebf99daff:0x947ea4962e7001f7!8m2!3d21.5366598!4d39.1887584!16s%2Fg%2F11j0tmjdyn!19sChIJ_9qZv87PwxUR9wFwLpakfpQ?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJqWcshH7RwxURevg3N49NDcU,سكريت Secret Cafe,Sweet & specialty coffee,,292,"Name: كافية الكوب الفضي
Link: https://www.google.com/maps/search/%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%D8%A7%D9%84%D9%83%D9%88%D8%A8+%D8%A7%D9%84%D9%81%D8%B6%D9%8A/@21.555475500000004,39.215682099999995?authuser=0&hl=ar&entry=ttu
Reviews: 675 reviews

Name: Luqimah لقيمة
Link: https://www.google.com/maps/search/Luqimah+%D9%84%D9%82%D9%8A%D9%85%D8%A9/@21.5508392,39.215379399999996?authuser=0&hl=ar&entry=ttu
Reviews: 41 reviews

Name: Spirito | سبريتو
Link: https://www.google.com/maps/search/Spirito+%7C+%D8%B3%D8%A8%D8%B1%D9%8A%D8%AA%D9%88/@21.5526469,39.2339862?authuser=0&hl=ar&entry=ttu
Reviews: 28 reviews

Name: سكريات اليوم
Link: https://www.google.com/maps/search/%D8%B3%D9%83%D8%B1%D9%8A%D8%A7%D8%AA+%D8%A7%D9%84%D9%8A%D9%88%D9%85/@21.5310696,39.1863908?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",https://menubarcode.com/SecretSa,054 311 4417,,سكريت Secret Cafe (المالك),https://www.google.com/maps/contrib/108957507399286404399,https://lh3.ggpht.com/p/AF1QipN8WDCJSvJ3ypdN2AgceSyGN7UDDBOIyXuwb76W=s1024,كافيه,كافيه,4.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الامير متعب بن عبدالعزيز، الرحاب، جدة 23345,"الكنافة, حلى, الكريب, جميل, كركديه, فلات وايت, صوص, الموسيقى, الألعاب, وكمان",https://www.google.com/maps/place/%D8%B3%D9%83%D8%B1%D9%8A%D8%AA+Secret+Cafe%E2%80%AD/data=!4m7!3m6!1s0x15c3d17e842c67a9:0xc50d4d8f3737f87a!8m2!3d21.561638!4d39.2127165!16s%2Fg%2F11sbrlj5z7!19sChIJqWcshH7RwxURevg3N49NDcU?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJGbJNYyvXwxURmR6B7gofzsk,ذا هاوس كافيه,نفتخر بتقديمنا للمشروبات والحلويات بطريقة فريدة من نوعها وسط اجواء خلقت خصيصاً للعائلات,,1084,"Name: مقهى ومطعم سي هاوس ميلانو
Link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%88%D9%85%D8%B7%D8%B9%D9%85+%D8%B3%D9%8A+%D9%87%D8%A7%D9%88%D8%B3+%D9%85%D9%8A%D9%84%D8%A7%D9%86%D9%88/@21.6324874,39.156078099999995?authuser=0&hl=ar&entry=ttu
Reviews: 438 reviews

Name: بيت القهوة الفرنسية
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%A9/@21.633418799999998,39.1630957?authuser=0&hl=ar&entry=ttu
Reviews: 157 reviews

Name: دارة القهوة
Link: https://www.google.com/maps/search/%D8%AF%D8%A7%D8%B1%D8%A9+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9/@21.6208268,39.171865499999996?authuser=0&hl=ar&entry=ttu
Reviews: 42 reviews

Name: HOUSE FEEL LIKE
Link: https://www.google.com/maps/search/HOUSE+FEEL+LIKE/@21.6324801,39.1560884?authuser=0&hl=ar&entry=ttu
Reviews: 9 reviews

Name: Cafleen coffee
Link: https://www.google.com/maps/search/Cafleen+coffee/@21.632396399999998,39.156044099999995?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",https://www.reach.link/thehouse,050 980 3200,,ذا هاوس كافيه (المالك),https://www.google.com/maps/contrib/117969313162826624632,https://lh3.ggpht.com/p/AF1QipNwTeZ79XlP8AZ8s1gCyjHONT_UxqLsJNy5fyHR=s1024,كافيه,كافيه,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Ground floor Mall of Arabia, النزهة، جدة 23532","الحلى, محمود المصري, الكنافه, التمر, المانجو, كورتادو, موهيتو, مجمع العرب, دلة قهوة, الكاسترد",https://www.google.com/maps/place/%D8%B0%D8%A7+%D9%87%D8%A7%D9%88%D8%B3+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x15c3d72b634db219:0xc9ce1f0aee811e99!8m2!3d21.6337269!4d39.1557774!16s%2Fg%2F11s61rldkx!19sChIJGbJNYyvXwxURmR6B7gofzsk?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJ034SYjPPwxURE1Tu0r_GTrU,تامبد,null,,1591,"Name: تيمب كوفي TEMP COFFEE
Link: https://www.google.com/maps/search/%D8%AA%D9%8A%D9%85%D8%A8+%D9%83%D9%88%D9%81%D9%8A+TEMP+COFFEE/@21.5666823,39.1774712?authuser=0&hl=ar&entry=ttu
Reviews: 292 reviews

Name: وانتد كافيه
Link: https://www.google.com/maps/search/%D9%88%D8%A7%D9%86%D8%AA%D8%AF+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@21.574516300000003,39.1476724?authuser=0&hl=ar&entry=ttu
Reviews: 131 reviews

Name: Tim Hortons
Link: https://www.google.com/maps/search/Tim+Hortons/@21.5361871,39.177579699999995?authuser=0&hl=ar&entry=ttu
Reviews: 17 reviews

Name: Adam’s cafe jeddha
Link: https://www.google.com/maps/search/Adam%E2%80%99s+cafe+jeddha/@21.5169756,39.1816046?authuser=0&hl=ar&entry=ttu
Reviews: 4 reviews",https://instagram.com/tamped.sa?utm_medium=copy_link,054 422 2726,1,تامبد (المالك),null,https://lh3.ggpht.com/p/AF1QipNmmLeNMdGobPd4Yc7htYwcG87p9NOMiTc3tMQc=s1024,كافيه,كافيه,4.1,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",Arafat st، الأندلس، جدة 23325,"فلات وايت, التمر, الشمس, والحلى, الحلوم, الديكور, واضاءة, النهار, حموضة, كيكة العسل",https://www.google.com/maps/place/%D8%AA%D8%A7%D9%85%D8%A8%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x15c3cf3362127ed3:0xb54ec6bfd2ee5413!8m2!3d21.5409225!4d39.171762!16s%2Fg%2F11lkzy6_dt!19sChIJ034SYjPPwxURE1Tu0r_GTrU?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJA2IrMhrawxURuZLAovBk4Tg,مقهى طبقات,null,,1823,"Name: Butter Layers | طبقات الزبدة
Link: https://www.google.com/maps/search/Butter+Layers+%7C+%D8%B7%D8%A8%D9%82%D8%A7%D8%AA+%D8%A7%D9%84%D8%B2%D8%A8%D8%AF%D8%A9/@21.769922599999997,39.1089621?authuser=0&hl=ar&entry=ttu
Reviews: 429 reviews

Name: Gathering
Link: https://www.google.com/maps/search/Gathering/@21.6371069,39.1482394?authuser=0&hl=ar&entry=ttu
Reviews: 366 reviews

Name: كوكب آخر
Link: https://www.google.com/maps/search/%D9%83%D9%88%D9%83%D8%A8+%D8%A2%D8%AE%D8%B1/@21.614888999999998,39.1419645?authuser=0&hl=ar&entry=ttu
Reviews: 142 reviews

Name: المذاق المغربي
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D9%85%D8%B0%D8%A7%D9%82+%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A/@21.624478999999997,39.1369452?authuser=0&hl=ar&entry=ttu
Reviews: 49 reviews

Name: Manuel Signature Cafe - Heraa Mall
Link: https://www.google.com/maps/search/Manuel+Signature+Cafe+-+Heraa+Mall/@21.6157479,39.1520121?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://mobile.twitter.com/tabaqatcafe?lang=ar,056 962 0038,,مقهى طبقات (المالك),https://www.google.com/maps/contrib/111122223220968910285,https://lh3.ggpht.com/p/AF1QipNOtv5PtSkSvlKE5EEl828Xz7ct4qqQIZOXN0Mf=s1024,مقهى,"مقهى, متجر الكعك",4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",الأمل، النعيم، جدة 23526,"موسيقى, الزعفران, فكرة, التمر, الطبقات, البسبوسه, الفستق, الحلى, كيكة التفاح, حنيني",https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%B7%D8%A8%D9%82%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x15c3da1a322b6203:0x38e164f0a2c092b9!8m2!3d21.6230516!4d39.1396824!16s%2Fg%2F11hbnlskn8!19sChIJA2IrMhrawxURuZLAovBk4Tg?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJr4DlhNrRwxUR2mGHk94mNbE,بلاك بوشن,"We are a group of 3 business-men that are passionate about coffee, who came together with the idea to open up a coffee shop that sells special-ty coffee using only the best coffee beans and best coffee machines.

WE SERVE
* BREWED coffee(V60, CHEMIX, BATCH… etc).

* ESPRESSO BASED coffee (espresso, cortado, latte, lat white… etc).

* ICE coffee (COLD BREW, ICE AMERICANO, SWEET POTION, LATTES…etc).

* We also have a range of vegan options to serve those who are vegan or even lactose intolerant, such as: Coconut Milk, Al-mond Milk, Soy Milk, and Oat Milk. Also having the options of Lacto-free Milk and Low Fat fresh Milk.

* We serve a very selective range of Sweets & Savories from selective suppliers, based on the high quality of ingredients.",,1892,"Name: بلاك بينك
Link: https://www.google.com/maps/search/%D8%A8%D9%84%D8%A7%D9%83+%D8%A8%D9%8A%D9%86%D9%83/@21.5145153,39.1859889?authuser=0&hl=ar&entry=ttu
Reviews: 1070 reviews

Name: بوكو Bocu
Link: https://www.google.com/maps/search/%D8%A8%D9%88%D9%83%D9%88+Bocu/@21.5497698,39.1435488?authuser=0&hl=ar&entry=ttu
Reviews: 577 reviews

Name: بلاك لاونج Black Lounge
Link: https://www.google.com/maps/search/%D8%A8%D9%84%D8%A7%D9%83+%D9%84%D8%A7%D9%88%D9%86%D8%AC+Black+Lounge/@21.6082988,39.14128240000001?authuser=0&hl=ar&entry=ttu
Reviews: 127 reviews

Name: بون كافيه
Link: https://www.google.com/maps/search/%D8%A8%D9%88%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@21.5491915,39.147588500000005?authuser=0&hl=ar&entry=ttu
Reviews: 94 reviews",null,056 882 0420,,بلاك بوشن (المالك),https://www.google.com/maps/contrib/101064209928935257829,https://lh3.ggpht.com/p/AF1QipNAX6xb4i2gysGcr6md1XJA33zFaAOmXFSi2GRF=s1024,كافيه,كافيه,4.1,نعمل على مدار 24 ساعة,,Open All Days,"الكيال, Street، جدة 23435","حلو, التدخين, موسيقى, الديكور, جميل, غرفة اجتماع, الكورتادو, جرعات, بودنج الموز, الحلى",https://www.google.com/maps/place/%D8%A8%D9%84%D8%A7%D9%83+%D8%A8%D9%88%D8%B4%D9%86%E2%80%AD/data=!4m7!3m6!1s0x15c3d1da84e580af:0xb13526de938761da!8m2!3d21.5668949!4d39.1559974!16s%2Fg%2F11fm7gy056!19sChIJr4DlhNrRwxUR2mGHk94mNbE?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJg6VqkojRwxURgnkhmCWFHDU,CLE CAFE,مقهى لتقديم القهوة المختصة والافطار,,1432,"Name: فله مطعم وكافيه
Link: https://www.google.com/maps/search/%D9%81%D9%84%D9%87+%D9%85%D8%B7%D8%B9%D9%85+%D9%88%D9%83%D8%A7%D9%81%D9%8A%D9%87/@21.5822775,39.1672626?authuser=0&hl=ar&entry=ttu
Reviews: 738 reviews

Name: لاكريبري
Link: https://www.google.com/maps/search/%D9%84%D8%A7%D9%83%D8%B1%D9%8A%D8%A8%D8%B1%D9%8A/@21.5666802,39.1520509?authuser=0&hl=ar&entry=ttu
Reviews: 180 reviews

Name: كيلة بن كافيه | KAILAT BON CAFE
Link: https://www.google.com/maps/search/%D9%83%D9%8A%D9%84%D8%A9+%D8%A8%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%7C+KAILAT+BON+CAFE/@21.6182886,39.1523228?authuser=0&hl=ar&entry=ttu
Reviews: 114 reviews

Name: choco 45°
Link: https://www.google.com/maps/search/choco+45%C2%B0/@21.567974000000003,39.1597319?authuser=0&hl=ar&entry=ttu
Reviews: 47 reviews",https://instagram.com/clecafe.sa?utm_medium=copy_link,053 090 4423,,CLE CAFE (المالك),https://www.google.com/maps/contrib/116320585247716320308,https://lh3.ggpht.com/p/AF1QipO8mKndBTDsVHqe0aecgdxXIfCOlcfZR8fQ2ldO=s1024,مقهى,"مقهى, كافيه",4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",قاسم زينه، الروضة، جدة 23434,"فلات وايت, الماتشا, الحلى, الفطائر اليابانية, الحلوم, بالتوت, تشيز كيك ياباني, نوتيلا, شكشوكة, حوسبة سحابية",https://www.google.com/maps/place/CLE+CAFE/data=!4m7!3m6!1s0x15c3d188926aa583:0x351c852598217982!8m2!3d21.573984!4d39.1633304!16s%2Fg%2F11rnhs_9kg!19sChIJg6VqkojRwxURgnkhmCWFHDU?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJc7QpHvfbwxURhLGx46eeGXU,1/15 Neighborhood Cafe Al Yamamah,كافيه لاجتماع الاصدقاء والجيران,,193,"Name: One fifteenth Neighborhood Cafe
Link: https://www.google.com/maps/search/One+fifteenth+Neighborhood+Cafe/@21.600266299999998,39.1232982?authuser=0&hl=ar&entry=ttu
Reviews: 608 reviews

Name: 1/15 Neighborhood Cafe Rawdah
Link: https://www.google.com/maps/search/1%2F15+Neighborhood+Cafe+Rawdah/@21.5727202,39.1545164?authuser=0&hl=ar&entry=ttu
Reviews: 306 reviews

Name: Barn's | بارنز
Link: https://www.google.com/maps/search/Barn's+%7C+%D8%A8%D8%A7%D8%B1%D9%86%D8%B2/@21.595918599999997,39.152735299999996?authuser=0&hl=ar&entry=ttu
Reviews: 49 reviews

Name: 1/15 Neighborhood cafe
Link: https://www.google.com/maps/search/1%2F15+Neighborhood+cafe/@21.4866791,39.1875109?authuser=0&hl=ar&entry=ttu
Reviews: 47 reviews

Name: 1/5 Neighborhood Cafe
Link: https://www.google.com/maps/search/1%2F5+Neighborhood+Cafe/@21.558869599999998,39.1276996?authuser=0&hl=ar&entry=ttu
Reviews: 13 reviews",https://www.instagram.com/115nc/?utm_medium=copy_link,054 059 2008,,1/15 Neighborhood Cafe Al Yamamah (المالك),https://www.google.com/maps/contrib/116066216346163174896,https://lh3.ggpht.com/p/AF1QipO9hdd2ikXWRmEL7Hj4EfefNxPDem0TTVMJ1VnF=s1024,كافيه,كافيه,4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",2472 نبع الاخلاص، السلامة، جدة 23437,"ايس تي, موهيتو, الاغاني, فلات وايت, موظف, السلامة, شيء, الماتشا, اجتماع, غرفة",https://www.google.com/maps/place/1%2F15+Neighborhood+Cafe+Al+Yamamah/data=!4m7!3m6!1s0x15c3dbf71e29b473:0x75199ea7e3b1b184!8m2!3d21.5891704!4d39.1478319!16s%2Fg%2F11n_xr866x!19sChIJc7QpHvfbwxURhLGx46eeGXU?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJNy0S0FnawxURDs-kKS1iGP8,مقهى ساره,Freshly handcrafted food made with love and hand-picked ingredients to bake a world a better place...,,1313,"Name: بارنز
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B1%D9%86%D8%B2/@21.5971054,39.122507899999995?authuser=0&hl=ar&entry=ttu
Reviews: 1910 reviews

Name: بارنيز كافيه | Barnie's Cafe
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B1%D9%86%D9%8A%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%7C+Barnie's+Cafe/@21.5915352,39.131937199999996?authuser=0&hl=ar&entry=ttu
Reviews: 183 reviews

Name: SARATEH CAFE ساراتيه
Link: https://www.google.com/maps/search/SARATEH+CAFE+%D8%B3%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D9%87/@21.632732999999998,39.1631715?authuser=0&hl=ar&entry=ttu
Reviews: 141 reviews

Name: Sara's Al Neil سرايا النيل
Link: https://www.google.com/maps/search/Sara's+Al+Neil+%D8%B3%D8%B1%D8%A7%D9%8A%D8%A7+%D8%A7%D9%84%D9%86%D9%8A%D9%84/@21.5832992,39.1930154?authuser=0&hl=ar&entry=ttu
Reviews: 10 reviews

Name: مقهى
Link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89/@21.5876955,39.132085599999996?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews",https://www.instagram.com/saracafe.ksa?igsh=NHllOXA3aTM2dDgy,056 462 0992,,مقهى ساره (المالك),https://www.google.com/maps/contrib/112862260962713046012,https://lh3.ggpht.com/p/AF1QipOu0f0qKLZryl_QwQ4Ezs3Z8hI7xGWOnN2LorfG=s1024,كافيه,"كافيه, مطعم للإفطار",4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",البترجي فرعي، الزهراء، جدة 21512,"بان كيك, الفلافل, نظام غذائي صحي, القرع, الحلوم, حمية كيتونية, خبز القرد, المناقيش, بالفطر, البنجر",https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%B3%D8%A7%D8%B1%D9%87%E2%80%AD/data=!4m7!3m6!1s0x15c3da59d0122d37:0xff18622d29a4cf0e!8m2!3d21.5984839!4d39.1237681!16s%2Fg%2F11b7j3tqfg!19sChIJNy0S0FnawxURDs-kKS1iGP8?authuser=0&hl=ar&rclk=1,cafes_jeddah
ChIJodvVM_tjwRUR92g3tdJFT7o,ديجون كافيه,"ديجون كافيه-ابحر
كافيه عصري على طراز راقي جدا تم تصميمه ليضيف لمحه جماليه وفخامه عاليه لسكان وزوار شمال جده
يقع بجوار دوار الجمل وبالقرب من ملعب الجوهره في منطقة ابحر الجنوبيه

يتم تقديم جميع انواع القهوه ذات الجوده العاليه على أيدي باريستا مدربين بشكل عالي
كما يميزنا تقديم اشهى انواع الحلويات المعده يوميا على يد شيف متخصص
بالإضافه الى انواع الساندوتشات العالميه والسلطات اللذيذه",,2496,"Name: Dunkin' - دانكن
Link: https://www.google.com/maps/search/Dunkin'+-+%D8%AF%D8%A7%D9%86%D9%83%D9%86/@21.763562500000003,39.1418125?authuser=0&hl=ar&entry=ttu
Reviews: 151 reviews

Name: دانكن دونتس
Link: https://www.google.com/maps/search/%D8%AF%D8%A7%D9%86%D9%83%D9%86+%D8%AF%D9%88%D9%86%D8%AA%D8%B3/@21.7354241,39.125715799999995?authuser=0&hl=ar&entry=ttu
Reviews: 115 reviews

Name: كاليبسو
Link: https://www.google.com/maps/search/%D9%83%D8%A7%D9%84%D9%8A%D8%A8%D8%B3%D9%88/@21.7654396,39.142329?authuser=0&hl=ar&entry=ttu
Reviews: 32 reviews

Name: مزاج مغربي
Link: https://www.google.com/maps/search/%D9%85%D8%B2%D8%A7%D8%AC+%D9%85%D8%BA%D8%B1%D8%A8%D9%8A/@21.7354642,39.1263247?authuser=0&hl=ar&entry=ttu
Reviews: 12 reviews",https://linktr.ee/dijoncafe1,050 111 1415,,ديجون كافيه (المالك),https://www.google.com/maps/contrib/116805553847180645869,https://lh3.ggpht.com/p/AF1QipNecBG1fo8XjEJuDFkDcTdSVNgXjjVafOjR0x_q=s1024,مقهى,"مقهى, كافيه",4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","بجوار دوار الجمل, طريق الملك عبدالعزيز، أبحر الجنوبية، جدة 23734","كنافة, تشيز كيك, التمر, الحلى, موسيقى, والاضاءة, المانجو, الفستق, بكيل, عجبتني",https://www.google.com/maps/place/%D8%AF%D9%8A%D8%AC%D9%88%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x15c163fb33d5dba1:0xba4f45d2b53768f7!8m2!3d21.7657027!4d39.1423611!16s%2Fg%2F11h03g4d8k!19sChIJodvVM_tjwRUR92g3tdJFT7o?authuser=0&hl=ar&rclk=1,cafes_jeddah
