place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJlxsddIHjLj4R0xFO1NuPOcs,درافت كافيه,"We aim to empower people to feel more creative while they sip their favorite cup of coffee. With branches in Riyadh and growing, we have established a presence amongst creative coffee shops and our purpose is to grow in an eco-friendly space, and keep a positive vibe with our staff, community, and fans.",,512,"Name: د. كيف
Link: https://www.google.com/maps/search/%D8%AF.+%D9%83%D9%8A%D9%81/@24.786801,46.7275196?authuser=0&hl=ar&entry=ttu
Reviews: 698 reviews

Name: Adic2 cafe
Link: https://www.google.com/maps/search/Adic2+cafe/@24.7370371,46.6307133?authuser=0&hl=ar&entry=ttu
Reviews: 293 reviews

Name: Bafarat
Link: https://www.google.com/maps/search/Bafarat/@24.7672165,46.604506799999996?authuser=0&hl=ar&entry=ttu
Reviews: 152 reviews

Name: Dunkin DD
Link: https://www.google.com/maps/search/Dunkin+DD/@24.769312,46.6041761?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",http://draftcafe.sa/,050 222 6821,,درافت كافيه (المالك),https://www.google.com/maps/contrib/109662820418271981951,https://lh3.ggpht.com/p/AF1QipMObf6EcnyYocrfbBQE99hthtkOLLNKWy2a0iFu=s1024,مقهى,"مقهى, كافيه",4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","U Walk Mall, طريق الامير تركي بن عبدالعزيز الأول، جامعة الملك سعود، الرياض 12373","الموسيقى, فلات وايت, طعم, للقراءة, الحليب, كتب, الطلب, الكوب, الحلى, تشيز كيك",https://www.google.com/maps/place/%D8%AF%D8%B1%D8%A7%D9%81%D8%AA+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2ee381741d1b97:0xcb398fdbd44e11d3!8m2!3d24.7367199!4d46.6305759!16s%2Fg%2F11hyq47jrk!19sChIJlxsddIHjLj4R0xFO1NuPOcs?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJ2-Jecxj9Lj4RONSy_lMV9B0,مقهى اندرينا,"مقهى أندرينا | Andarena cafe
في أندرينا نهتم بأدق التفاصيل... الطوب... الخشب العتيق... المدفأة الساحرة... التحف الفنية... الأضواء المشعّة...لنملئ المكان بسحر الذكريات",,1724,"Name: اي ال اند ان
Link: https://www.google.com/maps/search/%D8%A7%D9%8A+%D8%A7%D9%84+%D8%A7%D9%86%D8%AF+%D8%A7%D9%86/@24.7316956,46.6479656?authuser=0&hl=ar&entry=ttu
Reviews: 1802 reviews

Name: نيفانا كافية
Link: https://www.google.com/maps/search/%D9%86%D9%8A%D9%81%D8%A7%D9%86%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D8%A9/@24.803066899999997,46.760747599999995?authuser=0&hl=ar&entry=ttu
Reviews: 172 reviews

Name: مقهى ديوانية النادر
Link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D8%B1/@24.8191644,46.7438918?authuser=0&hl=ar&entry=ttu
Reviews: 160 reviews

Name: Barn's | بارنز
Link: https://www.google.com/maps/search/Barn's+%7C+%D8%A8%D8%A7%D8%B1%D9%86%D8%B2/@24.7977116,46.7354468?authuser=0&hl=ar&entry=ttu
Reviews: 9 reviews",https://instagram.com/andarena_coffee?rnametag,056 636 7009,,مقهى اندرينا (المالك),https://www.google.com/maps/contrib/118044079652720343370,https://lh3.ggpht.com/p/AF1QipPUSLp4R5MePG_srnr1hcfyWl0drsgIBLRUUuNV=s1024,مقهى,"مقهى, كافيه, متجر القهوة, مطعم مخبوزات محلاة, مقهى إسبرسو, مقهى لشرب الشاي",4.6,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",شارع ابي جعفر المنصور، غرناطة، الرياض 11564,"فلات وايت, تصميم, موسيقى, شطرنج, الشمس, الحلى, الكركديه, v60, طوب, مهارات الدراسة",https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%86%D8%AF%D8%B1%D9%8A%D9%86%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3e2efd18735ee2db:0x1df41553feb2d438!8m2!3d24.7884919!4d46.7332947!16s%2Fg%2F11ng5jbnr0!19sChIJ2-Jecxj9Lj4RONSy_lMV9B0?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJIxjL-XkdLz4RqXi0Bphsi7M,ملموم كافيه,null,,132,"Name: فووم
Link: https://www.google.com/maps/search/%D9%81%D9%88%D9%88%D9%85/@24.7667917,46.6821846?authuser=0&hl=ar&entry=ttu
Reviews: 237 reviews

Name: هوول كافي Hole coffee
Link: https://www.google.com/maps/search/%D9%87%D9%88%D9%88%D9%84+%D9%83%D8%A7%D9%81%D9%8A+Hole+coffee/@24.6976301,46.6390417?authuser=0&hl=ar&entry=ttu
Reviews: 84 reviews

Name: 10AM CAFE
Link: https://www.google.com/maps/search/10AM+CAFE/@24.7010111,46.6470984?authuser=0&hl=ar&entry=ttu
Reviews: 42 reviews

Name: قهوة الشيوخ
Link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%B4%D9%8A%D9%88%D8%AE/@24.699579500000002,46.651821?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://instagram.com/malmoum.cafe?igshid=YmMyMTA2M2Y=,050 146 4563,,ملموم كافيه (المالك),https://www.google.com/maps/contrib/115902166843147971983,https://lh3.ggpht.com/p/AF1QipMlltYbTvt_fcpEn954fY1CvaLntQwLueB_q5IL=s1024,كافيه,كافيه,4.6,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","3685 Al Urubah Branch Rd, Umm Al Hamam Al Gharbi, Riyadh 12328, الرياض 11111","الماتشا, جميل, فنون, كركديه, مكتبة, للقراءة, معرض, اسم على مسمى, شغل, معرف",https://www.google.com/maps/place/%D9%85%D9%84%D9%85%D9%88%D9%85+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2f1d79f9cb1823:0xb38b6c9806b478a9!8m2!3d24.7007377!4d46.6463564!16s%2Fg%2F11tdtgj7sb!19sChIJIxjL-XkdLz4RqXi0Bphsi7M?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJjXE9P_cDLz4RLriVFu5jdZ4,ماستر پيس كافيه,"Masterpiece offers a comfortable environment for everyone. Come and enjoy our selection of drinks, desserts, sandwiches, and salads. Whether you're looking to relax over a cup of coffee or grab a quick bite to go, the Masterpiece Cafe is an amazing place to be.",,398,"Name: ماكدونالدز
Link: https://www.google.com/maps/search/%D9%85%D8%A7%D9%83%D8%AF%D9%88%D9%86%D8%A7%D9%84%D8%AF%D8%B2/@24.712228,46.675379?authuser=0&hl=ar&entry=ttu
Reviews: 1431 reviews

Name: مستر انتعاش
Link: https://www.google.com/maps/search/%D9%85%D8%B3%D8%AA%D8%B1+%D8%A7%D9%86%D8%AA%D8%B9%D8%A7%D8%B4/@24.724486499999998,46.675820900000005?authuser=0&hl=ar&entry=ttu
Reviews: 131 reviews

Name: bister
Link: https://www.google.com/maps/search/bister/@24.7144092,46.6739649?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: Barista Eddie
Link: https://www.google.com/maps/search/Barista+Eddie/@24.7135517,46.6752957?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://instagram.com/masterpiece.cafe,null,,ماستر پيس كافيه (المالك),https://www.google.com/maps/contrib/101867709555260493288,https://lh3.ggpht.com/p/AF1QipPJXXnJaWC4Be0UJbQZOydt7_W5DPzWjWbKkFvp=s1024,كافيه,"كافيه, مقهى",4.6,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","3022 طريق العروبة، الورود, 6140، الرياض 12251","حلو, لاتيه, موهيتو, الباريستا, طعم, الفلات وايت, الديكور, التوت, توقيع, قهوة مختصة",https://www.google.com/maps/place/%D9%85%D8%A7%D8%B3%D8%AA%D8%B1+%D9%BE%D9%8A%D8%B3+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2f03f73f3d718d:0x9e7563ee1695b82e!8m2!3d24.714738!4d46.6774353!16s%2Fg%2F11hdx24rxl!19sChIJjXE9P_cDLz4RLriVFu5jdZ4?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJo4YhbK0DLz4Ry-v54UH2f_Y,دير يو,Speciality coffee,,1357,"Name: قهوة ديزايرد
Link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%AF%D9%8A%D8%B2%D8%A7%D9%8A%D8%B1%D8%AF/@24.757953399999998,46.7152344?authuser=0&hl=ar&entry=ttu
Reviews: 539 reviews

Name: عنوان القهوة
Link: https://www.google.com/maps/search/%D8%B9%D9%86%D9%88%D8%A7%D9%86+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9/@24.702895,46.706204?authuser=0&hl=ar&entry=ttu
Reviews: 411 reviews

Name: قهوة تنث دير - 10th Deer Cafe
Link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%AA%D9%86%D8%AB+%D8%AF%D9%8A%D8%B1+-+10th+Deer+Cafe/@24.7382153,46.6898215?authuser=0&hl=ar&entry=ttu
Reviews: 174 reviews

Name: DEERS Speciality coffee/ ديرز كافيه
Link: https://www.google.com/maps/search/DEERS+Speciality+coffee%2F+%D8%AF%D9%8A%D8%B1%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@24.7347499,46.782977699999996?authuser=0&hl=ar&entry=ttu
Reviews: 10 reviews",null,null,,دير يو (المالك),https://www.google.com/maps/contrib/115699396485138780668,https://lh3.ggpht.com/p/AF1QipO3LKvgts1LIJont9bx0hoxGjHey6JYIArkiQqO=s1024,كافيه,كافيه,4.2,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق مكة المكرمة الفرعي، السليمانية، الرياض 12621,"فلات وايت, حلو, للعمل, مهارات الدراسة, الإضاءة, قراءة, اجتماع, طلاب, الكوب, الحلى",https://www.google.com/maps/place/%D8%AF%D9%8A%D8%B1+%D9%8A%D9%88%E2%80%AD/data=!4m7!3m6!1s0x3e2f03ad6c2186a3:0xf67ff641e1f9ebcb!8m2!3d24.683796!4d46.7020156!16s%2Fg%2F11jwh283q8!19sChIJo4YhbK0DLz4Ry-v54UH2f_Y?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJdzbExw_jLj4RFmi7rthGO1E,أشجار كافيه,"أشجار كافيه 🪴مكان جميل لمحبين القهوة المختصة والأشجار مع وجود أماكن مناسبة للإجتماع مع الأصدقاء
أو العمل الجماعي و الفردي🤍🌿✨
Ashjar Cafe is a nice place if you want to drink a good quality of specialty coffee between plants and fountain , meet your friends, finish your work, do your business in meeting room",,7647,"Name: أشجار البن
Link: https://www.google.com/maps/search/%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1+%D8%A7%D9%84%D8%A8%D9%86/@24.716437499999998,46.7846875?authuser=0&hl=ar&entry=ttu
Reviews: 788 reviews

Name: أشجار الشاي
Link: https://www.google.com/maps/search/%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1+%D8%A7%D9%84%D8%B4%D8%A7%D9%8A/@24.832303399999997,46.7451009?authuser=0&hl=ar&entry=ttu
Reviews: 468 reviews",http://ashjarcafe.com/,011 511 3484,,أشجار كافيه (المالك),https://www.google.com/maps/contrib/107833064764519262048,https://lh3.ggpht.com/p/AF1QipMQyCiQJlzWltKNVe8xFFt6sbiVR3BYnsaHPpnX=s1024,كافيه,"كافيه, محامص البن",4.3,نعمل على مدار 24 ساعة,,Open All Days,طريق الأمير محمد بن سلمان بن عبدالعزيز، الربيع، الرياض 13315,"اشجار, الاجتماعات, بالنهار, التراميسو, كيكة العسل, كركديه, الجلسات, مشتل, نافورة, مساحة العمل",https://www.google.com/maps/place/%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2ee30fc7c43677:0x513b46d8aebb6816!8m2!3d24.7862736!4d46.6586595!16s%2Fg%2F11qmx839f3!19sChIJdzbExw_jLj4RFmi7rthGO1E?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJIY5dr20CLz4RZrmy3KZg2FM,مقهى د.كيف,د.كيف كافيه شركة دولية رائدة و متخصصة في تحميص وصناعة القهوة وبيع التجزئة تمتلك مئات الفروع حول العالم.,,115,"Name: Dr. Cafe Coffee
Link: https://www.google.com/maps/search/Dr.+Cafe+Coffee/@24.674624500000004,46.7800527?authuser=0&hl=ar&entry=ttu
Reviews: 71 reviews

Name: دكتور كافي
Link: https://www.google.com/maps/search/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%83%D8%A7%D9%81%D9%8A/@24.6556033,46.717282999999995?authuser=0&hl=ar&entry=ttu
Reviews: 69 reviews

Name: dr.CAFE SUPPORT CENTER
Link: https://www.google.com/maps/search/dr.CAFE+SUPPORT+CENTER/@24.6852666,46.7065633?authuser=0&hl=ar&entry=ttu
Reviews: 28 reviews",https://drcafe.com/en-sa,059 426 3581,,مقهى د.كيف (المالك),https://www.google.com/maps/contrib/114871845939815468652,https://lh3.ggpht.com/p/AF1QipPLExa6HhsnmvR-UHlPvU9dHBfWdBTG9vo9j3nw=s1024,كافيه,"كافيه, مقهى",3.8,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",Uthman Bin Affan، Riyadh International Convention & Exhibition Center، الرياض,"عصير, كراميل",https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%AF.%D9%83%D9%8A%D9%81%E2%80%AD/data=!4m7!3m6!1s0x3e2f026daf5d8e21:0x53d860a6dcb2b966!8m2!3d24.751192!4d46.725717!16s%2Fg%2F11clyby5q0!19sChIJIY5dr20CLz4RZrmy3KZg2FM?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJmSHv3_zjLj4RyPJcpba1veY,م٧١ كافيه,قهوة مختصة,,273,"Name: Meetup Cafe & Pastry
Link: https://www.google.com/maps/search/Meetup+Cafe+%26+Pastry/@24.8088604,46.6273281?authuser=0&hl=ar&entry=ttu
Reviews: 649 reviews

Name: ذا زون كافيه
Link: https://www.google.com/maps/search/%D8%B0%D8%A7+%D8%B2%D9%88%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@24.730556500000002,46.6473046?authuser=0&hl=ar&entry=ttu
Reviews: 232 reviews

Name: واحد مايو كافي One May cafe
Link: https://www.google.com/maps/search/%D9%88%D8%A7%D8%AD%D8%AF+%D9%85%D8%A7%D9%8A%D9%88+%D9%83%D8%A7%D9%81%D9%8A+One+May+cafe/@24.670785499999997,46.753205099999995?authuser=0&hl=ar&entry=ttu
Reviews: 22 reviews

Name: Cafe 1
Link: https://www.google.com/maps/search/Cafe+1/@24.752959,46.6551371?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",null,050 636 4637,,م٧١ كافيه (المالك),https://www.google.com/maps/contrib/113945910271233819767,https://lh3.ggpht.com/p/AF1QipM4ggsjP3YUsJSejECQPW59eeE6esmKSdwClMcB=s1024,كافيه,كافيه,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Al Ulaya, 9330 2510, الرياض","لاتيه, شباب, الطلب, اسعار, فلات وايت, حلو, الحلى, موقع, اخلاق, الكوب",https://www.google.com/maps/place/%D9%85%D9%A7%D9%A1+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3fcdfef2199:0xe6bdb5b6a55cf2c8!8m2!3d24.7579613!4d46.6523883!16s%2Fg%2F11fm53th4q!19sChIJmSHv3_zjLj4RyPJcpba1veY?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJI5GoeJ39Lj4Rd36lJpmvRb4,Legit Cafe ليجت كافيه,"ليجت كافيه هو المعنى الحقيقي للرقي والذوق الرفيع ، فهو مقهى يقدم جميع انواع القهوة المختصة ليس هذا فقط وحسب بل متوفر قائمة طعام تضم اشهي المشروبات والحلي مثل الماتشا ، كركديه ، ايس تي ، فرنش توست بالكراميل والنوتيلا و البستاشيو ، نوفر لك في مقهى ليجت جلسات مريحة في أجواء مليئة بالانسجام والهدوء، والتي تجعلك تتذوق القهوة المفضلة لديك براحة ومتعة تبحث عنها وسط متاعب الحياة واقتناص وقت سعيد مع الأصدقاء أو العائلة.
ليجت كافيه مزيج مميز بين الكلاسيكية في المعاملة والحداثة في تجهيز قائمة مشروبات والحلويات ، علي يد امهر الشيفات في المملكة ، بالرغم من ذلك فيتميز مقهى لجت بأسعار تنافسية بسيطة جداً تتناسب مع جميع عملائنا بالاضافة الي حرص طاقم العمل حرصاً شديداً علي ارضاء عملائنا بدايةً من دخول الكافية حتي المغادرة عن طريق الاستقبال والترحاب الرائع .",,1108,"Name: Manuel Signature Cafe - Riyadh Mercato
Link: https://www.google.com/maps/search/Manuel+Signature+Cafe+-+Riyadh+Mercato/@24.7593522,46.715731299999995?authuser=0&hl=ar&entry=ttu
Reviews: 63 reviews

Name: Klatch Coffee
Link: https://www.google.com/maps/search/Klatch+Coffee/@24.8268581,46.728506599999996?authuser=0&hl=ar&entry=ttu
Reviews: 54 reviews",http://legitcafe.sa/,050 944 3076,,Legit Cafe ليجت كافيه (المالك),https://www.google.com/maps/contrib/116810305092987338810,https://lh3.ggpht.com/p/AF1QipMGkz6JoF_GaAtwmmlu1vDS76ZC2dLppgPmllax=s1024,مقهى,"مقهى, كافيه, متجر القهوة, مقهى إسبرسو",4.6,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق سعيد ابن زيد، قرطبة، الرياض 13248,"توست, فلات وايت, الحلى, بودنق, بيكان, الشمس, croffle, مكان هادي, بالنهار, كنافة",https://www.google.com/maps/place/Legit+Cafe+%D9%84%D9%8A%D8%AC%D8%AA+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2efd9d78a89123:0xbe45af9926a57e77!8m2!3d24.8194776!4d46.7310689!16s%2Fg%2F11pzsbw4df!19sChIJI5GoeJ39Lj4Rd36lJpmvRb4?authuser=0&hl=ar&rclk=1,cafes_riyadh
ChIJuelhFhPiLj4R-vbGiLH97Zo,إكسير البن,إكسير البن، محمصة القهوة المختصة و كافيه محلي مستقل في العاصمة الرياض، السعودية,,4454,"Name: انر سيركل
Link: https://www.google.com/maps/search/%D8%A7%D9%86%D8%B1+%D8%B3%D9%8A%D8%B1%D9%83%D9%84/@24.7515377,46.6402143?authuser=0&hl=ar&entry=ttu
Reviews: 1172 reviews

Name: وشيل
Link: https://www.google.com/maps/search/%D9%88%D8%B4%D9%8A%D9%84/@24.760954299999998,46.7375946?authuser=0&hl=ar&entry=ttu
Reviews: 971 reviews

Name: سايبرس مقهى ومحمصة
Link: https://www.google.com/maps/search/%D8%B3%D8%A7%D9%8A%D8%A8%D8%B1%D8%B3+%D9%85%D9%82%D9%87%D9%89+%D9%88%D9%85%D8%AD%D9%85%D8%B5%D8%A9/@24.8324769,46.6047769?authuser=0&hl=ar&entry=ttu
Reviews: 545 reviews",https://elixirbunn.com/,058 133 6317,,إكسير البن (المالك),https://www.google.com/maps/contrib/116369250980377443349,https://lh3.ggpht.com/p/AF1QipPlu_iRBFlKYhRGsuM95bARpiazi65VtAzcIuAo=s1024,كافيه,"كافيه, مقهى, محامص البن",4.1,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",7157 Salem Bin Maaqil Al Nakheel Dist 4133، الرياض 12392,"قهوة مختصة, كورتادو, الاغاني, الكوب, ثلج, هامبيلا كافيه هامبيلا كافيه قهوة متخصصة, القهوة المقطرة, جامعة الملك سعود, خطوة جمل, التقطير",https://www.google.com/maps/place/%D8%A5%D9%83%D8%B3%D9%8A%D8%B1+%D8%A7%D9%84%D8%A8%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2ee2131661e9b9:0x9aedfdb188c6f6fa!8m2!3d24.7342147!4d46.6112765!16s%2Fg%2F11b7q7j_tn!19sChIJuelhFhPiLj4R-vbGiLH97Zo?authuser=0&hl=ar&rclk=1,cafes_riyadh
