place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJlRHmpznPwxURBTg4BGkxppY,متحف جدة الإقليمي قصر خزام,null,,115,"Name: مركز طارق عبدالحكيم
Link: https://www.google.com/maps/search/%D9%85%D8%B1%D9%83%D8%B2+%D8%B7%D8%A7%D8%B1%D9%82+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85/@21.4830477,39.1874975?authuser=0&hl=ar&entry=ttu
Reviews: 122 reviews

Name: قصر النزلة التاريخي
Link: https://www.google.com/maps/search/%D9%82%D8%B5%D8%B1+%D8%A7%D9%84%D9%86%D8%B2%D9%84%D8%A9+%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A/@21.4732307,39.2148375?authuser=0&hl=ar&entry=ttu
Reviews: 13 reviews

Name: متحف الجفري - aljefri museum
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AC%D9%81%D8%B1%D9%8A+-+aljefri+museum/@21.5669112,39.2495427?authuser=0&hl=ar&entry=ttu
Reviews: 13 reviews

Name: متحف الضيافة
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9/@21.4878973,39.1867422?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews",null,null,1,متحف جدة الإقليمي قصر خزام (المالك),null,https://lh3.ggpht.com/p/AF1QipN0p4cIkSImrmfiXWEg_vvLunN-E_SjhFvJn4b0=s1024,متحف,متحف,4.2,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",F6F4+FMX، قصر خزام، النزلة اليمانية، جدة 22333,"معرض, تاريخي, اعمال, يناير, 2021, الصور, لوزارة, فترة, المنطقة, فكرة",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%AC%D8%AF%D8%A9+%D8%A7%D9%84%D8%A5%D9%82%D9%84%D9%8A%D9%85%D9%8A+%D9%82%D8%B5%D8%B1+%D8%AE%D8%B2%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x15c3cf39a7e61195:0x96a6316904383805!8m2!3d21.4737344!4d39.2067231!16s%2Fm%2F05zt8j9!19sChIJlRHmpznPwxURBTg4BGkxppY?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJqw5BKRzRwxURQJgU94G_WN4,متحف عبدالرؤوف حسن خليل,null,,282,"Name: متحف مدينة الطيبات العالمية للعلوم والمعرفة
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D8%B7%D9%8A%D8%A8%D8%A7%D8%AA+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9+%D9%84%D9%84%D8%B9%D9%84%D9%88%D9%85+%D9%88%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9/@21.580993199999998,39.176665799999995?authuser=0&hl=ar&entry=ttu
Reviews: 1748 reviews

Name: متحف التراث الحضاري
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AB+%D8%A7%D9%84%D8%AD%D8%B6%D8%A7%D8%B1%D9%8A/@21.5487985,39.1682165?authuser=0&hl=ar&entry=ttu
Reviews: 14 reviews

Name: متحف الجفري - aljefri museum
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AC%D9%81%D8%B1%D9%8A+-+aljefri+museum/@21.5669112,39.2495427?authuser=0&hl=ar&entry=ttu
Reviews: 13 reviews",null,056 386 6984,1,متحف عبدالرؤوف حسن خليل (المالك),null,https://lh3.ggpht.com/p/AF1QipOdS7hTU82ORKTfpTVnrFs-vi70oFZr-dgWWQba=s1024,متحف التاريخ الطبيعي,متحف التاريخ الطبيعي,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",8750 ريحانة الجزيرة، حي الفيصلية، 3150، جدة 23442,"جميل, جدا, التراث, المسجد, السعر, رمضان, 80, بازار, ثقافة سعودية, صرح",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%A4%D9%88%D9%81+%D8%AD%D8%B3%D9%86+%D8%AE%D9%84%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3d11c29410eab:0xde58bf81f7149840!8m2!3d21.580597!4d39.1765938!16s%2Fg%2F11g0l27xyb!19sChIJqw5BKRzRwxURQJgU94G_WN4?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJVZN9sRHPwxURiYnjkF4W0wU,بيت البلد,null,,204,"Name: البلد
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%A8%D9%84%D8%AF/@21.488615199999998,39.187024099999995?authuser=0&hl=ar&entry=ttu
Reviews: 161 reviews

Name: El Balad - Historical Jeddah جدة التاريخيه البلد
Link: https://www.google.com/maps/search/El+Balad+-+Historical+Jeddah+%D8%AC%D8%AF%D8%A9+%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A%D9%87+%D8%A7%D9%84%D8%A8%D9%84%D8%AF/@21.490171,39.186260999999995?authuser=0&hl=ar&entry=ttu
Reviews: 12 reviews

Name: بيت بخش التاريخي
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A8%D8%AE%D8%B4+%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A/@21.4832037,39.1885845?authuser=0&hl=ar&entry=ttu
Reviews: 7 reviews

Name: بيت قابل
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D9%82%D8%A7%D8%A8%D9%84/@21.487295,39.1867381?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews",null,null,1,بيت البلد (المالك),null,https://lh3.ggpht.com/p/AF1QipOy8ZVoQ544wpNW5wR4E-nD-thsyqUgEqfAg2A=s1024,متحف التاريخ المحلي,"متحف التاريخ المحلي, مزار سياحي",4.3,نعمل على مدار 24 ساعة,,Open All Days,F5QM+432، الكنداسه، البلد، جدة 22233,"المبنى, الاحجار",https://www.google.com/maps/place/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%A8%D9%84%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x15c3cf11b17d9355:0x5d3165e90e38989!8m2!3d21.4877517!4d39.1826454!16s%2Fg%2F1ptyv4b6z!19sChIJVZN9sRHPwxURiYnjkF4W0wU?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJoZ7npxvPwxUR5wx-rx6AnAc,متحف بيت المتبولي,null,,541,"Name: بيت البلد
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%A8%D9%84%D8%AF/@21.4877517,39.1826454?authuser=0&hl=ar&entry=ttu
Reviews: 204 reviews

Name: بيت الشربتلي
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B4%D8%B1%D8%A8%D8%AA%D9%84%D9%8A/@21.489038200000003,39.1871094?authuser=0&hl=ar&entry=ttu
Reviews: 62 reviews

Name: متحف العم سعيد الغامدي
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B9%D9%85+%D8%B3%D8%B9%D9%8A%D8%AF+%D8%A7%D9%84%D8%BA%D8%A7%D9%85%D8%AF%D9%8A/@21.488078599999998,39.1864546?authuser=0&hl=ar&entry=ttu
Reviews: 7 reviews

Name: بيت المتبولي
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D9%85%D8%AA%D8%A8%D9%88%D9%84%D9%8A/@21.4847034,39.187357299999995?authuser=0&hl=ar&entry=ttu
Reviews: 5 reviews",null,null,1,متحف بيت المتبولي (المالك),null,https://lh3.ggpht.com/p/AF1QipOMckPWVshfBAiS71XWaNmrUUe8Al8-C078io1Y=s1024,متحف,متحف,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","3352 زقاق القمصاني, حي البلد، 6974, Al Balad District, جدة 22236","جميل, تراث, غرف, حياة, طوابق, السوق, حضارة, تجربه, الجدران, معماري",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D9%85%D8%AA%D8%A8%D9%88%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3cf1ba7e79ea1:0x79c801eaf7e0ce7!8m2!3d21.4849857!4d39.1887642!16s%2Fg%2F11c0vxwhmb!19sChIJoZ7npxvPwxUR5wx-rx6AnAc?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJ5VU4TrvPwxURqIDee07TmlE,دارة صفية بن زقر,"Our General visiting hours every Saturday 10:30 AM - 3:30 PM.
Reservations for groups visits, please call us on +966 12 6571030 or email us at daratsb@daratsb.com.",,70,"Name: ضياء عزيز ضياء
Link: https://www.google.com/maps/search/%D8%B6%D9%8A%D8%A7%D8%A1+%D8%B9%D8%B2%D9%8A%D8%B2+%D8%B6%D9%8A%D8%A7%D8%A1/@21.559292799999998,39.118513899999996?authuser=0&hl=ar&entry=ttu
Reviews: 6 reviews

Name: Gallery Shop متجر الجدرانية
Link: https://www.google.com/maps/search/Gallery+Shop+%D9%85%D8%AA%D8%AC%D8%B1+%D8%A7%D9%84%D8%AC%D8%AF%D8%B1%D8%A7%D9%86%D9%8A%D8%A9/@21.4870554,39.186641699999996?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: GaleriaDeAZIZ
Link: https://www.google.com/maps/search/GaleriaDeAZIZ/@21.6226725,39.1458872?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews

Name: Art residency Albalad II exhibition
Link: https://www.google.com/maps/search/Art+residency+Albalad+II+exhibition/@21.5085178,39.18533?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",http://www.daratsb.com/,012 657 1030,,دارة صفية بن زقر (المالك),https://www.google.com/maps/contrib/108244072326635583753,https://lh3.ggpht.com/p/AF1QipMb-b022Xqy6dMQlMlXWhZBV8mFtaD6lhOzQDH2=s1024,معرض فني,"معرض فني, متحف, مزار سياحي",4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الملك عبدالله، البغدادية الغربية، جدة 22234,"الفنانة, اعمال, للاطفال",https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1%D8%A9+%D8%B5%D9%81%D9%8A%D8%A9+%D8%A8%D9%86+%D8%B2%D9%82%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x15c3cfbb4e3855e5:0x519ad34e7bde80a8!8m2!3d21.5097737!4d39.1810003!16s%2Fg%2F11cm3fjld1!19sChIJ5VU4TrvPwxURqIDee07TmlE?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJRZ5FOQDPwxURKoPB49O--BM,تيم لاب بلا حدود,"teamLab Borderless Jeddah is a world of artworks without boundaries, a museum without a map created by art collective teamLab. Immerse yourself in borderless art. Wander, explore with intention, discover, and create a new world with others.",,1351,"Name: مركز طارق عبدالحكيم
Link: https://www.google.com/maps/search/%D9%85%D8%B1%D9%83%D8%B2+%D8%B7%D8%A7%D8%B1%D9%82+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85/@21.4830477,39.1874975?authuser=0&hl=ar&entry=ttu
Reviews: 122 reviews

Name: Discovery Monument by Hisham Mortada
Link: https://www.google.com/maps/search/Discovery+Monument+by+Hisham+Mortada/@21.5461374,39.1298076?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: Borderless Drop-Off
Link: https://www.google.com/maps/search/Borderless+Drop-Off/@21.4957419,39.1834516?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: Art residency Albalad II exhibition
Link: https://www.google.com/maps/search/Art+residency+Albalad+II+exhibition/@21.5085178,39.18533?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://www.teamlab.art/e/jeddah/,null,,تيم لاب بلا حدود (المالك),https://www.google.com/maps/contrib/110064151677332466531,https://lh3.ggpht.com/p/AF1QipPW4y3P-mjebj46KQuG1mwTw44VcLT9gV75654o=s1024,متحف الفن الحديث,متحف الفن الحديث,4.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",حمزه شحاته، البغدادية الغربية، جدة 22235,"الخيال, العاب, للكبار, تفاعلية, حقيقي, عالم اخر, المشي, دوخة, القولف, في الداخل",https://www.google.com/maps/place/%D8%AA%D9%8A%D9%85+%D9%84%D8%A7%D8%A8+%D8%A8%D9%84%D8%A7+%D8%AD%D8%AF%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x15c3cf0039459e45:0x13f8bed3e3c1832a!8m2!3d21.4946875!4d39.1831875!16s%2Fg%2F11v_9wbm3l!19sChIJRZ5FOQDPwxURKoPB49O--BM?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJ5WYg6YnPwxURPIvzKCwvi1A,متحف الفنون المنزلية,مفتوح,,107,"Name: متحف الفن التشكيلي
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%81%D9%86+%D8%A7%D9%84%D8%AA%D8%B4%D9%83%D9%8A%D9%84%D9%8A/@21.4890205,39.1877845?authuser=0&hl=ar&entry=ttu
Reviews: 30 reviews

Name: Houses of ART
Link: https://www.google.com/maps/search/Houses+of+ART/@21.594799599999998,39.1399532?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews

Name: معرض المركز السعودي للفنون التشكيلية
Link: https://www.google.com/maps/search/%D9%85%D8%B9%D8%B1%D8%B6+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A+%D9%84%D9%84%D9%81%D9%86%D9%88%D9%86+%D8%A7%D9%84%D8%AA%D8%B4%D9%83%D9%8A%D9%84%D9%8A%D8%A9/@21.552588,39.164940699999995?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews

Name: متحف مشاعل الرويس
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D9%85%D8%B4%D8%A7%D8%B9%D9%84+%D8%A7%D9%84%D8%B1%D9%88%D9%8A%D8%B3/@21.5282156,39.1712998?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews",null,050 567 5465,,متحف الفنون المنزلية (المالك),https://www.google.com/maps/contrib/105109959281832414212,https://lh3.ggpht.com/p/AF1QipMyZJqnaGMyiy1vVopiZTV7UAMdmCqKh5Y3eQ-b=s1024,متحف,"متحف, مزار سياحي",4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",الكلاء، الحمراء، جدة 23321,"جميل, الدخول, السياحية, الحضارات, النافورة, الاثاث, ذاكرة, المعلومات, والغرف",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%81%D9%86%D9%88%D9%86+%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x15c3cf89e92066e5:0x508b2f2c28f38b3c!8m2!3d21.521241!4d39.1548554!16s%2Fg%2F1pv0dvhzm!19sChIJ5WYg6YnPwxURPIvzKCwvi1A?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJuazRYfPPwxURku3poTpPKUY,متحف درويش سلامة,null,,125,"Name: متحف التراث الحضاري
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AB+%D8%A7%D9%84%D8%AD%D8%B6%D8%A7%D8%B1%D9%8A/@21.5487985,39.1682165?authuser=0&hl=ar&entry=ttu
Reviews: 14 reviews

Name: متحف الضيافة
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9/@21.4878973,39.1867422?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews

Name: Discovery Monument by Hisham Mortada
Link: https://www.google.com/maps/search/Discovery+Monument+by+Hisham+Mortada/@21.5461374,39.1298076?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: متحف طريق الحرير
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D8%AD%D8%B1%D9%8A%D8%B1/@21.568296999999998,39.1111588?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews

Name: Darwish salamah museum
Link: https://www.google.com/maps/search/Darwish+salamah+museum/@21.485811,39.192504799999995?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",http://www.jeddah.gov.sa/,012 620 5566,1,متحف درويش سلامة (المالك),null,https://lh3.ggpht.com/p/AF1QipOy5k0SN7-H2jUT2Q1RQVkbl6gBlaXWZRuNNl9n=s1024,متحف أثري,متحف أثري,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","3029 الربوع العربيه, Al Hamra District، جدة 23321","المنزل, مساجد, نحت, صورة ضوئية, سكن, جميل, بوابة, هيكل, كلام",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%AF%D8%B1%D9%88%D9%8A%D8%B4+%D8%B3%D9%84%D8%A7%D9%85%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x15c3cff361d1acb9:0x46294f3aa1e9ed92!8m2!3d21.5271327!4d39.159534!16s%2Fg%2F11c1njjd26!19sChIJuazRYfPPwxURku3poTpPKUY?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJBacC3i7bwxURuG_1lXaJKtg,حيّ جميل,"حي جميل هو موطن جدة للفنون، وصُمم ليضم مجموعة واسعة من التخصصات الإبداعية في وجهة واحدة ليكون مركزًا مجتمعيًا ديناميكيًا وإبداعيًا، ويشمل سينما حي للأفلام المستقلة ومعارض فنون حي ومستكشفي حي للصغار المبدعين، ومساحات متعددة الأغراض للعروض المختلفة مثل ورش العمل والمناقشات، بالإضافة إلى مقاهي ومطعم وساحة مجتمعية متاحة للجميع.

ملاحظة: ساعات عمل المبنى بالكامل يوميًا من 9 صباحًا حتى 3 بعد منتصف الليل

Hayy Jameel is Jeddah's dedicated home for the arts, conceived as a dynamic, creative, community hub. Hayy Jameel is home to Hayy Cinema, exhibition spaces, Hayy Explorers, a creative space for children and young adults, multi-purpose spaces for performances, workshops and talks, cafes and eateries as well as Saha, a central community courtyard.",,1356,"Name: جاليري مداد فن Medad Art Gallery
Link: https://www.google.com/maps/search/%D8%AC%D8%A7%D9%84%D9%8A%D8%B1%D9%8A+%D9%85%D8%AF%D8%A7%D8%AF+%D9%81%D9%86+Medad+Art+Gallery/@21.5166263,39.1829331?authuser=0&hl=ar&entry=ttu
Reviews: 33 reviews

Name: Elite Gallery ايليت غاليري - جاليري ايليت - جدة
Link: https://www.google.com/maps/search/Elite+Gallery+%D8%A7%D9%8A%D9%84%D9%8A%D8%AA+%D8%BA%D8%A7%D9%84%D9%8A%D8%B1%D9%8A+-+%D8%AC%D8%A7%D9%84%D9%8A%D8%B1%D9%8A+%D8%A7%D9%8A%D9%84%D9%8A%D8%AA+-+%D8%AC%D8%AF%D8%A9/@21.516721000000004,39.1829259?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: AKTHR
Link: https://www.google.com/maps/search/AKTHR/@21.6313179,39.1288613?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: Art residency Albalad II exhibition
Link: https://www.google.com/maps/search/Art+residency+Albalad+II+exhibition/@21.5085178,39.18533?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",http://hayyjameel.org/,012 228 3430,,حيّ جميل (المالك),https://www.google.com/maps/contrib/113509759541209698468,https://lh3.ggpht.com/p/AF1QipOlPdlf0KVemoQjJwsNZAexlw5IAbwRTa2sJoFR=s1024,مركز ثقافي,"مركز ثقافي, معرض فني",4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","7829, Al Muhammadiyah District, جدة 23615","الابداع, مساحة, مقهى, اكاديمية, تصميم, مفهوم, الانستقرام, معرض الفن المعاصر, اعمال, تدريب",https://www.google.com/maps/place/%D8%AD%D9%8A%D9%91+%D8%AC%D9%85%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3db2ede02a705:0xd82a897695f56fb8!8m2!3d21.6313125!4d39.1290136!16s%2Fg%2F11f5kppmsx!19sChIJBacC3i7bwxURuG_1lXaJKtg?authuser=0&hl=ar&rclk=1,museums_jeddah
ChIJzW2ypxrPwxURM3Qq3nM8Cqs,جدة القديمة البلد,تضم هذه المدينة التي كانت مسوّرة سابقًا مساجد ومنازل تقليدية مع شرفات خشبية، وبازارات في أزقتها الضيقة.,,3497,"Name: عود جدة التاريخية
Link: https://www.google.com/maps/search/%D8%B9%D9%88%D8%AF+%D8%AC%D8%AF%D8%A9+%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A%D8%A9/@21.4839408,39.1840367?authuser=0&hl=ar&entry=ttu
Reviews: 4 reviews

Name: بيت الشيخ ابراهيم احمد ابو الحمائل
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B4%D9%8A%D8%AE+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D8%A7%D8%AD%D9%85%D8%AF+%D8%A7%D8%A8%D9%88+%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D8%A6%D9%84/@21.485036599999997,39.1874579?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: 古建筑
Link: https://www.google.com/maps/search/%E5%8F%A4%E5%BB%BA%E7%AD%91/@21.4853752,39.1870914?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: جدةالبلد
Link: https://www.google.com/maps/search/%D8%AC%D8%AF%D8%A9%D8%A7%D9%84%D8%A8%D9%84%D8%AF/@21.4811232,39.187325?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: antique houses
Link: https://www.google.com/maps/search/antique+houses/@21.4864149,39.1878021?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",null,null,,جدة القديمة البلد (المالك),https://www.google.com/maps/contrib/113121374020228932281,https://lh3.ggpht.com/p/AF1QipNoXbwIKCuJsvitKaGbPq68zaYLvQhPfe_phJQT=s1024,متحف أثري,"متحف أثري, مزار سياحي",4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",3022-3107 زقاق بازان، البلد، جدة 22236,"اسواق, المقاهي, رمضان, التراث, المساء, زقاق, عطور, منطقة تاريخية, المعالم, مقاطعة تاريخية",https://www.google.com/maps/place/%D8%AC%D8%AF%D8%A9+%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9+%D8%A7%D9%84%D8%A8%D9%84%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x15c3cf1aa7b26dcd:0xab0a3c73de2a7433!8m2!3d21.4879841!4d39.1855314!16s%2Fg%2F11c52k2gmk!19sChIJzW2ypxrPwxURM3Qq3nM8Cqs?authuser=0&hl=ar&rclk=1,museums_jeddah
