place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJl1S1MIsDLz4Rl71XugWgy9g,متحف صقر الجزيرة للطيران,"متحف جوي تابع للقوات الجوية الملكية السعودية يعرض التطور التاريخي لها منذ نشأتها على يدي الملك عبدالعزيز إلى ما وصلت إليه في هذا العصر

الخدمات المقدمة للزوار:
إمتداداً للجهود المبذولة في مواكبة التطور المستمر قام المتحف بجلب أحدث الأجهزة التى توفر للزوار المتعة والرفاهية والإثارة والتي تتناسب مع جميع الفئات السنية :
جهاز مسرحي للطيران التشبيهي يحمل عدد 28 راكب .
جهاز تشبيهي خاص بطائرة ف 15.
جهاز تشبيهي خاص بطائرة التايفون .
جهاز تشبيهي خاص بطائرة بوينج 737.

أسعار التذاكر :
نصت اللائحة التشغيلية للمتحف على أن تكون التذاكر على فئتين فئة ( 5 ) ريال لطلاب المدارس والجامعات وفئة ( 10) ريال للعامة من الزوار وقد أتاح المتحف الفرصة للدخول مجاناً لذوي الاحتياجات الخاصة و الأعياد واليوم الوطني والمناسبات والفعاليات",,2289,"Name: اكاديمية اجنحة الصقر لعلوم الطيران
Link: https://www.google.com/maps/search/%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9+%D8%A7%D8%AC%D9%86%D8%AD%D8%A9+%D8%A7%D9%84%D8%B5%D9%82%D8%B1+%D9%84%D8%B9%D9%84%D9%88%D9%85+%D8%A7%D9%84%D8%B7%D9%8A%D8%B1%D8%A7%D9%86/@24.7029104,46.7713409?authuser=0&hl=ar&entry=ttu
Reviews: 28 reviews

Name: JAX Museum
Link: https://www.google.com/maps/search/JAX+Museum/@24.7455365,46.53523?authuser=0&hl=ar&entry=ttu
Reviews: 12 reviews

Name: Royal Air Force Museum Entry Gate
Link: https://www.google.com/maps/search/Royal+Air+Force+Museum+Entry+Gate/@24.753471599999997,46.740212899999996?authuser=0&hl=ar&entry=ttu
Reviews: 9 reviews

Name: ورا بيت صقر
Link: https://www.google.com/maps/search/%D9%88%D8%B1%D8%A7+%D8%A8%D9%8A%D8%AA+%D8%B5%D9%82%D8%B1/@24.6560638,46.745847?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews

Name: مخيمات صقر
Link: https://www.google.com/maps/search/%D9%85%D8%AE%D9%8A%D9%85%D8%A7%D8%AA+%D8%B5%D9%82%D8%B1/@24.978721699999998,46.7402102?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews",null,011 492 2303,,متحف صقر الجزيرة للطيران (المالك),https://www.google.com/maps/contrib/107909731604313917562,https://lh3.ggpht.com/p/AF1QipMFh2IKb7sP1flPWBZSmMDQKgem8H-5a5ZXcMhY=s1024,متحف تاريخ,متحف تاريخ,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",الطريق الدائري الشرقي، الملك عبدالله، مخرج 10، الرياض 12451,"الطائرات, اليوم الوطني, جميل, محاكاة, العسكرية, الأمن, للكبار, سينما, شاشة عرض, عالم",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%B5%D9%82%D8%B1+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D9%84%D9%84%D8%B7%D9%8A%D8%B1%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f038b30b55497:0xd8cba005ba57bd97!8m2!3d24.7540614!4d46.7391115!16s%2Fm%2F09rtb0t!19sChIJl1S1MIsDLz4Rl71XugWgy9g?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJPT0JXmEbLz4Ryr29kgOHptQ,متحف القصر,"It is the first comprehensive museum of political, religious, military and artistic history in the Kingdom of Saudi Arabia. Founded in 1965. It was first opened to the public in 2020. He owns the most important group of international plastic artists in Saudi Arabia, including: Picasso. Frans Hals. Monet. Michelangelo. Adolf Schreyer. and Peter Paul Robins",,49,"Name: الرياض
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/@24.6312146,46.7133804?authuser=0&hl=ar&entry=ttu
Reviews: 21 reviews

Name: International Museum of Ancient Civilizations
Link: https://www.google.com/maps/search/International+Museum+of+Ancient+Civilizations/@24.6666223,46.626630999999996?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews

Name: Old Towers of Riyadh
Link: https://www.google.com/maps/search/Old+Towers+of+Riyadh/@24.6312416,46.7153652?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: البونغليف الشرقي
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%A8%D9%88%D9%86%D8%BA%D9%84%D9%8A%D9%81+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A/@24.7135517,46.6752957?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: متحف السيارات الكلاسيكيه ( البيت الابيض سابقا)
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%83%D9%84%D8%A7%D8%B3%D9%8A%D9%83%D9%8A%D9%87+(+%D8%A7%D9%84%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%A7%D8%A8%D9%8A%D8%B6+%D8%B3%D8%A7%D8%A8%D9%82%D8%A7)/@24.7135517,46.6752957?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",null,055 226 4642,,متحف القصر (المالك),https://www.google.com/maps/contrib/106997557072676023937,https://lh3.ggpht.com/p/AF1QipPP7_l-1wy8JbuclGi9Y_AaCwpv4OqaAp9yxRbW=s1024,متحف,متحف,4.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",MM5C+93W، الشرفية، الرياض 12724,"تاريخ, نادرة, الصور, وغرف, راقي, تحفة قديمة, معرفة",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%82%D8%B5%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f1b615e093d3d:0xd4a6870392bdbdca!8m2!3d24.6584875!4d46.6702031!16s%2Fg%2F11q4ccj8qn!19sChIJPT0JXmEbLz4Ryr29kgOHptQ?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJ7T756RXhLj4RYLs3U5QdZPI,متحف السنين الماضية,"متحف أثري عبارة عن عدة بيوت تاريخية
يحوي العديد من المقتنيات والقطع الاثرية والنادرة . ياخذك بجوله بالسنين الماضية وما كان عليه الاباء والاجداد
تحف قديمة متنوعة ومختلفة من أدوات المعيشة والملابس والأسلحة وأدوات المهن القديمة وأجهزة الراديو والتلفزيون والأثاث القديم.",,452,"Name: متحف الدرعية
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AF%D8%B1%D8%B9%D9%8A%D8%A9/@24.7338016,46.5751309?authuser=0&hl=ar&entry=ttu
Reviews: 73 reviews

Name: متحف الصور بالدرعية
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B5%D9%88%D8%B1+%D8%A8%D8%A7%D9%84%D8%AF%D8%B1%D8%B9%D9%8A%D8%A9/@24.7384378,46.5774645?authuser=0&hl=ar&entry=ttu
Reviews: 70 reviews

Name: متحف العمارة التقليدية
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D8%B1%D8%A9+%D8%A7%D9%84%D8%AA%D9%82%D9%84%D9%8A%D8%AF%D9%8A%D8%A9/@24.733635099999997,46.5739642?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews

Name: Museum of past years
Link: https://www.google.com/maps/search/Museum+of+past+years/@24.742198899999998,46.568973799999995?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://instagram.com/m_otpy?igshid=1orx0ky8qf3xo,059 000 0629,,متحف السنين الماضية (المالك),https://www.google.com/maps/contrib/103070244473338111780,https://lh3.ggpht.com/p/AF1QipMy8FUu6SzA8RmMLwAjI0x73HD-vW267Lj-N5K0=s1024,متحف أثري,متحف أثري,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الملك فيصل بن عبدالعزيز الدرعية، الرياض 13712,"قهوة, جميل, عليه, التراث, غرفة, 20, دخول, التكييف, الضيافه, جمييل",https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B3%D9%86%D9%8A%D9%86+%D8%A7%D9%84%D9%85%D8%A7%D8%B6%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2ee115e9f93eed:0xf2641d945337bb60!8m2!3d24.7413312!4d46.5717953!16s%2Fg%2F11lh2v5_lc!19sChIJ7T756RXhLj4RYLs3U5QdZPI?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJ4cV14VUELz4RBfhtCX8cffo,المتحف الوطني السعودي,National museum for public and tourist,,15042,"Name: قصر المربع التاريخي
Link: https://www.google.com/maps/search/%D9%82%D8%B5%D8%B1+%D8%A7%D9%84%D9%85%D8%B1%D8%A8%D8%B9+%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A/@24.6465518,46.709168999999996?authuser=0&hl=ar&entry=ttu
Reviews: 1203 reviews

Name: حديقة الوطن المركز التاريخي
Link: https://www.google.com/maps/search/%D8%AD%D8%AF%D9%8A%D9%82%D8%A9+%D8%A7%D9%84%D9%88%D8%B7%D9%86+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%8A/@24.6444574,46.7094248?authuser=0&hl=ar&entry=ttu
Reviews: 208 reviews

Name: متحف القصر
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%82%D8%B5%D8%B1/@24.6584875,46.670203099999995?authuser=0&hl=ar&entry=ttu
Reviews: 49 reviews

Name: International Museum of Ancient Civilizations
Link: https://www.google.com/maps/search/International+Museum+of+Ancient+Civilizations/@24.6666223,46.626630999999996?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews

Name: Public Sitting Area
Link: https://www.google.com/maps/search/Public+Sitting+Area/@24.647356199999997,46.710042699999995?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews",https://x.com/saudimuseum?s=21&t=cmwh9l4azqBAJbcwycwusw,null,,المتحف الوطني السعودي (المالك),https://www.google.com/maps/contrib/113456696823957460364,https://lh3.ggpht.com/p/AF1QipNCoU23ASP7cbeN7Tfjpj4t0KWbhG1ks61vtJvh=s1024,المتحف الوطني,"المتحف الوطني, متحف",4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","حي, 8745 طريق الملك سعود، 2722, King Faisal Road, الرياض","الحضارات, الملك عبدالعزيز, اثار, التاريخ الإسلامي, هجرة, ثقافة السعودية, جاهلية, معالم, تحقيب, العرب قبل الإسلام",https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f0455e175c5e1:0xfa7d1c7f096df805!8m2!3d24.6477217!4d46.7102311!16s%2Fm%2F05mzfj8!19sChIJ4cV14VUELz4RBfhtCX8cffo?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJSwojZQn9Lj4RjRdyrCHiA_o,بيت الثقافة - واحة الملك سلمان | Culture House - King Salman Oasis,null,,104,"Name: واحة الملك سلمان للعلوم بالأحياء
Link: https://www.google.com/maps/search/%D9%88%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B3%D9%84%D9%85%D8%A7%D9%86+%D9%84%D9%84%D8%B9%D9%84%D9%88%D9%85+%D8%A8%D8%A7%D9%84%D8%A3%D8%AD%D9%8A%D8%A7%D8%A1/@24.7042282,46.70001320000001?authuser=0&hl=ar&entry=ttu
Reviews: 1032 reviews

Name: واحة الملك سلمان للعلوم والأحياء
Link: https://www.google.com/maps/search/%D9%88%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B3%D9%84%D9%85%D8%A7%D9%86+%D9%84%D9%84%D8%B9%D9%84%D9%88%D9%85+%D9%88%D8%A7%D9%84%D8%A3%D8%AD%D9%8A%D8%A7%D8%A1/@24.599650999999998,46.695121?authuser=0&hl=ar&entry=ttu
Reviews: 120 reviews",null,null,,بيت الثقافة - واحة الملك سلمان | Culture House - King Salman Oasis (المالك),https://www.google.com/maps/contrib/117187352835556783235,https://lh3.ggpht.com/p/AF1QipPTCKwDScLEjQrAJ8ZsSHglQWR8_RCkVvdREjGA=s1024,متحف العلوم,متحف العلوم,4.2,null,,Open All Days,QPH4+WC، 8040 طريق عثمان بن عفان الفرعي، التعاون، الرياض 12478,"جميل, الاطفال, للجلوس, حديقة, العاب, للعوائل, للمشي",https://www.google.com/maps/place/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D8%A9+-+%D9%88%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B3%D9%84%D9%85%D8%A7%D9%86+%7C+Culture+House+-+King+Salman+Oasis%E2%80%AD/data=!4m7!3m6!1s0x3e2efd0965230a4b:0xfa03e221ac72178d!8m2!3d24.7798125!4d46.7060625!16s%2Fg%2F11c2qpjlz_!19sChIJSwojZQn9Lj4RjRdyrCHiA_o?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJ9W54NVXhLj4Rhh-FePC2tOU,ساموكا - متحف المملكة العربية السعودية للفن المعاصر,null,,25,"Name: الصالة المؤقتة للمتحف السعودي للفن المعاصر في جاكس
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D9%85%D8%A4%D9%82%D8%AA%D8%A9+%D9%84%D9%84%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A+%D9%84%D9%84%D9%81%D9%86+%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B5%D8%B1+%D9%81%D9%8A+%D8%AC%D8%A7%D9%83%D8%B3/@24.7455625,46.535187500000006?authuser=0&hl=ar&entry=ttu
Reviews: 75 reviews

Name: معرض الفن
Link: https://www.google.com/maps/search/%D9%85%D8%B9%D8%B1%D8%B6+%D8%A7%D9%84%D9%81%D9%86/@24.746589699999998,46.535233500000004?authuser=0&hl=ar&entry=ttu
Reviews: 59 reviews

Name: فن الرياض
Link: https://www.google.com/maps/search/%D9%81%D9%86+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/@24.7462073,46.535437599999995?authuser=0&hl=ar&entry=ttu
Reviews: 40 reviews

Name: JAX Museum
Link: https://www.google.com/maps/search/JAX+Museum/@24.7455365,46.53523?authuser=0&hl=ar&entry=ttu
Reviews: 12 reviews",https://www.instagram.com/samocamoc/,null,1,ساموكا - متحف المملكة العربية السعودية للفن المعاصر (المالك),null,https://lh3.ggpht.com/p/AF1QipMWk3k2HoE6gB0abQWWKEwXNupyYboY2-uBK-_1=s1024,متحف الفن الحديث,متحف الفن الحديث,4.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","6891، الدرعية الجديدة، 2308, Saudi Arabia, الرياض 13732",اعمال,https://www.google.com/maps/place/%D8%B3%D8%A7%D9%85%D9%88%D9%83%D8%A7+-+%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9+%D9%84%D9%84%D9%81%D9%86+%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B5%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2ee15535786ef5:0xe5b4b6f078851f86!8m2!3d24.7457729!4d46.5353779!16s%2Fg%2F11pzy8mtnr!19sChIJ9W54NVXhLj4Rhh-FePC2tOU?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJxeFHMXAFLz4R_OaJPBd0VEE,Big Fun Museum,null,,52,"Name: Riyadh zoo
Link: https://www.google.com/maps/search/Riyadh+zoo/@24.675403199999998,46.7377067?authuser=0&hl=ar&entry=ttu
Reviews: 42 reviews

Name: Riyadh Zoo Giraffe statues
Link: https://www.google.com/maps/search/Riyadh+Zoo+Giraffe+statues/@24.6770402,46.7385717?authuser=0&hl=ar&entry=ttu
Reviews: 6 reviews

Name: البونغليف الشرقي
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%A8%D9%88%D9%86%D8%BA%D9%84%D9%8A%D9%81+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A/@24.7135517,46.6752957?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",null,null,1,Big Fun Museum (المالك),null,https://lh3.ggpht.com/p/AF1QipPRzkCixxF4gU0gRz403ANO4Bx8DcPQC9MC3n62=s1024,متحف,متحف,4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Park, شارع الأمين عبدالله العلي النعيم، King Abdullah, الرياض 12836","الاطفال, خبرة, ماب, وهم, عائليه",https://www.google.com/maps/place/Big+Fun+Museum/data=!4m7!3m6!1s0x3e2f05703147e1c5:0x415474173c89e6fc!8m2!3d24.6660513!4d46.7369751!16s%2Fg%2F11fp569tth!19sChIJxeFHMXAFLz4R_OaJPBd0VEE?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJ1xUyQcsFLz4RjDD9sCz_0gI,Old Towers of Riyadh,null,,3,"Name: الرياض
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/@24.6312146,46.7133804?authuser=0&hl=ar&entry=ttu
Reviews: 21 reviews

Name: أول مبنى لبلدية الرياض
Link: https://www.google.com/maps/search/%D8%A3%D9%88%D9%84+%D9%85%D8%A8%D9%86%D9%89+%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/@24.635191,46.71239?authuser=0&hl=ar&entry=ttu
Reviews: 6 reviews

Name: مبنى أثري قديم
Link: https://www.google.com/maps/search/%D9%85%D8%A8%D9%86%D9%89+%D8%A3%D8%AB%D8%B1%D9%8A+%D9%82%D8%AF%D9%8A%D9%85/@24.6444147,46.714591?authuser=0&hl=ar&entry=ttu
Reviews: 6 reviews

Name: البونغليف الشرقي
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%A8%D9%88%D9%86%D8%BA%D9%84%D9%8A%D9%81+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A/@24.7135517,46.6752957?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews

Name: T-ZONE
Link: https://www.google.com/maps/search/T-ZONE/@24.5862113,46.7788393?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",null,null,1,Old Towers of Riyadh (المالك),null,https://lh3.ggpht.com/p/AF1QipORDe-oFhfMKAHgli1iqfedpb8qCEzvTsS1dR8y=s1024,متحف,متحف,5,null,,Open All Days,JPJ8+F4X، الديرة، الرياض 12634,,https://www.google.com/maps/place/Old+Towers+of+Riyadh/data=!4m7!3m6!1s0x3e2f05cb413215d7:0x2d2ff2cb0fd308c!8m2!3d24.6312416!4d46.7153652!16s%2Fg%2F11h5vgllkt!19sChIJ1xUyQcsFLz4RjDD9sCz_0gI?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJ-Ywyx4v8Lj4RSDePvwJJRGs,متحف تاريخ التقنية,null,,9,"Name: الرياض
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/@24.6312146,46.7133804?authuser=0&hl=ar&entry=ttu
Reviews: 21 reviews

Name: International Museum of Ancient Civilizations
Link: https://www.google.com/maps/search/International+Museum+of+Ancient+Civilizations/@24.6666223,46.626630999999996?authuser=0&hl=ar&entry=ttu
Reviews: 8 reviews

Name: Old Towers of Riyadh
Link: https://www.google.com/maps/search/Old+Towers+of+Riyadh/@24.6312416,46.7153652?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews

Name: متحف قسم الآثار جامعة الملك سعود
Link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%AD%D9%81+%D9%82%D8%B3%D9%85+%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1+%D8%AC%D8%A7%D9%85%D8%B9%D8%A9+%D8%A7%D9%84%D9%85%D9%84%D9%83+%D8%B3%D8%B9%D9%88%D8%AF/@24.7169417,46.6179772?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://imamu.edu.sa/Pages/default.aspx,null,1,متحف تاريخ التقنية (المالك),null,https://lh3.ggpht.com/p/AF1QipOVRGe7-stl5rAI9USRpHoMvTb8fILPqO2WG1gZ=s1024,متحف,متحف,4.8,null,,Open All Days,RP84+9C4، جامعة الامام محمد بن سعود الاسلامية، الرياض 13318,,https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE+%D8%A7%D9%84%D8%AA%D9%82%D9%86%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2efc8bc7328cf9:0x6b444902bf8f3748!8m2!3d24.8158839!4d46.7060777!16s%2Fg%2F11c1qb0hsx!19sChIJ-Ywyx4v8Lj4RSDePvwJJRGs?authuser=0&hl=ar&rclk=1,museums_riyadh
ChIJOcSDtNrhLj4R2NlZ2AcgfPc,الصالة المؤقتة للمتحف السعودي للفن المعاصر في جاكس,"يقع المتحف السعودي للفن المعاصر في الرياض، الدرعية الجديدة، في موقع مؤقت في حي جاكس. عملت هيئة المتاحف، وزارة الثقافة، على
إنشاء هذا المتحف في عام 2023 بهدف تعزيز الوعي بالفن المعاصر من خلال المعارض الفنية والفعاليات التي تثري المشهد الفني والثقافي في المملكة وتخلق مساحة للتواصل والتبادل الثقافي بين الفنانين السعوديين ونظرائهم الدوليين.

Saudi Arabia Museum of Contemporary Art is located in Riyadh, Al Diriyah Al Jadidah, temporarily at JAX District. The institution was conceived in 2023 by the Museums Commission, Ministry of Culture. SAMoCA’s mission is to foster creative transformation by providing a platform for local artists, promoting cultural exchange, and enriching the artistic landscape of the Kingdom.",,75,"Name: Jax 01
Link: https://www.google.com/maps/search/Jax+01/@24.7474107,46.5386907?authuser=0&hl=ar&entry=ttu
Reviews: 338 reviews

Name: معرض الفن
Link: https://www.google.com/maps/search/%D9%85%D8%B9%D8%B1%D8%B6+%D8%A7%D9%84%D9%81%D9%86/@24.746589699999998,46.535233500000004?authuser=0&hl=ar&entry=ttu
Reviews: 59 reviews

Name: Jax 03
Link: https://www.google.com/maps/search/Jax+03/@24.7453339,46.5381261?authuser=0&hl=ar&entry=ttu
Reviews: 34 reviews

Name: ساموكا - متحف المملكة العربية السعودية للفن المعاصر
Link: https://www.google.com/maps/search/%D8%B3%D8%A7%D9%85%D9%88%D9%83%D8%A7+-+%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9+%D9%84%D9%84%D9%81%D9%86+%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B5%D8%B1/@24.7457729,46.5353779?authuser=0&hl=ar&entry=ttu
Reviews: 25 reviews

Name: JAX Museum
Link: https://www.google.com/maps/search/JAX+Museum/@24.7455365,46.53523?authuser=0&hl=ar&entry=ttu
Reviews: 12 reviews",https://webook.com/en/events/chinese-contemporary-art-exhibition,800 118 9999,,الصالة المؤقتة للمتحف السعودي للفن المعاصر في جاكس (المالك),https://www.google.com/maps/contrib/103174794731279056240,https://lh3.ggpht.com/p/AF1QipNVZdJcrfbPZiDUCT5EgSMdL8BvwinSsdQK8wYJ=s1024,متحف,متحف,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",PGWP+639، الدرعية الجديدة، الدرعية 13732,"المعرض, اعمال, جميل, العلم, الفكره",https://www.google.com/maps/place/%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D9%85%D8%A4%D9%82%D8%AA%D8%A9+%D9%84%D9%84%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A+%D9%84%D9%84%D9%81%D9%86+%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B5%D8%B1+%D9%81%D9%8A+%D8%AC%D8%A7%D9%83%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x3e2ee1dab483c439:0xf77c2007d859d9d8!8m2!3d24.7455625!4d46.5351875!16s%2Fg%2F11vbzhp0v6!19sChIJOcSDtNrhLj4R2NlZ2AcgfPc?authuser=0&hl=ar&rclk=1,museums_riyadh
