place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJVZfZG8lBdhURqGdYP2kq9O0,كازا باستا,مطاعم كازا باستا شركة مطاعم سعودية 100%، قصة نجاح سعودية بدأت من فرع واحد في سنة 2005 وتملك الآن اكثر من 50 فرع على مستوى المملكه وتقدم خدماتها في عشر مدن كبيرة إبتداءاً من الرياض و جدة ومكة والقصيم والدمام والخبر و قريباً في المدينة المنورة و مدن الجنوب,,296,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: ماسا باستا
Link: https://www.google.com/maps/search/%D9%85%D8%A7%D8%B3%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4806667,41.6719267?authuser=0&hl=ar&entry=ttu
Reviews: 615 reviews

Name: سباريتا باستا
Link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%A7%D8%B1%D9%8A%D8%AA%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4779074,41.670082199999996?authuser=0&hl=ar&entry=ttu
Reviews: 94 reviews

Name: باستا زون
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86/@27.515367899999998,41.640890899999995?authuser=0&hl=ar&entry=ttu
Reviews: 77 reviews

Name: مطعم برجر باستا
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D8%B1%D8%AC%D8%B1+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.5718687,41.7143624?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",https://qrco.de/CASAPASTA,9200 12111,,كازا باستا (المالك),https://www.google.com/maps/contrib/109842607511755085559,https://lh3.ggpht.com/p/AF1QipNxs72Ry0K_-j4XVzCOcunsYeUVYuUwE8SWSJvD=s1024,مطعم مأكولات إيطالية,"مطعم مأكولات إيطالية, متجر مكرونة",4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Hail square Alwusayta', 5816, Saudi Arabia, Hail 55432 5816 - حائل سكوير، حائل 55432","السعر, كمية, الطلب, تجربة, العامل, النظافة, كما, زفت, تعني, الموظف",https://www.google.com/maps/place/%D9%83%D8%A7%D8%B2%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x157641c91bd99755:0xedf42a693f5867a8!8m2!3d27.5006411!4d41.6709646!16s%2Fg%2F11h37s4gt2!19sChIJVZfZG8lBdhURqGdYP2kq9O0?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJWx-Arlw_dhUREfsXr6O89Os,روقو روكو|RUGA ROKO,null,,540,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: مطعم أروقة
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A3%D8%B1%D9%88%D9%82%D8%A9/@27.4714496,41.6632203?authuser=0&hl=ar&entry=ttu
Reviews: 403 reviews

Name: رشة Rasha
Link: https://www.google.com/maps/search/%D8%B1%D8%B4%D8%A9+Rasha/@27.568664599999998,41.7305485?authuser=0&hl=ar&entry=ttu
Reviews: 106 reviews

Name: روما وَي
Link: https://www.google.com/maps/search/%D8%B1%D9%88%D9%85%D8%A7+%D9%88%D9%8E%D9%8A/@27.554272899999997,41.6814563?authuser=0&hl=ar&entry=ttu
Reviews: 62 reviews

Name: كروبس|CROPS ITALY
Link: https://www.google.com/maps/search/%D9%83%D8%B1%D9%88%D8%A8%D8%B3%7CCROPS+ITALY/@27.5227278,41.7263275?authuser=0&hl=ar&entry=ttu
Reviews: 57 reviews",null,059 517 0966,,روقو روكو|RUGA ROKO (المالك),https://www.google.com/maps/contrib/106893986549171203646,https://lh3.ggpht.com/p/AF1QipMkNaf78KoAUYrB-bxYrNiPIIQIJh72r9feLZdw=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الامير سعود بن عبدالمحسن، النقرة، حائل 55431,"كريم, الطلب, ألكيل, خيال, كرات, الفورنو, التقييم, طلبنا, النواحي, برقوق",https://www.google.com/maps/place/%D8%B1%D9%88%D9%82%D9%88+%D8%B1%D9%88%D9%83%D9%88%7CRUGA+ROKO%E2%80%AD/data=!4m7!3m6!1s0x15763f5cae801f5b:0xebf4bca3af17fb11!8m2!3d27.4861316!4d41.6666366!16s%2Fg%2F11l1dsrr59!19sChIJWx-Arlw_dhUREfsXr6O89Os?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJufD6WEs_dhUR7tn4iJ5Gmuw,تيلانو,حائل - النقرة - شارع فهد العريفي - بوليفارد تويست,,184,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: بانيلو pannello
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D9%86%D9%8A%D9%84%D9%88+pannello/@27.467107199999997,41.6419223?authuser=0&hl=ar&entry=ttu
Reviews: 208 reviews

Name: بيتزاتو
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%AA%D9%88/@27.4861944,41.6767709?authuser=0&hl=ar&entry=ttu
Reviews: 114 reviews

Name: روما وَي
Link: https://www.google.com/maps/search/%D8%B1%D9%88%D9%85%D8%A7+%D9%88%D9%8E%D9%8A/@27.554272899999997,41.6814563?authuser=0&hl=ar&entry=ttu
Reviews: 62 reviews",https://telano.menu/,050 297 7555,,تيلانو (المالك),https://www.google.com/maps/contrib/105860710842899917530,https://lh3.ggpht.com/p/AF1QipP6OlkOz1ffqXTD5TvJH5huthCc_okS0xkN2dv7=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","3718 فهد العلى العريفي، النقرة، حي, 7399، حائل 55431","التجربة, الاسعار, ونظافه, الفطور, ماشاءالله, الكينوا, الطلب, كمية, قصدير, خشبوري",https://www.google.com/maps/place/%D8%AA%D9%8A%D9%84%D8%A7%D9%86%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15763f4b58faf0b9:0xec9a469e88f8d9ee!8m2!3d27.4795712!4d41.6722972!16s%2Fg%2F11vj5j4mqm!19sChIJufD6WEs_dhUR7tn4iJ5Gmuw?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJWT5OE8VHdhUR1HjWuZKJJMg,8pmpizza,"نقدم اشهى وألذ اطباق البيتزا والباستا الايطالية بأفضل الاسعار.
اهدافنا:
١- في كل يوم جديد نكون افضل من اليوم السابق.
٢- اصحاب الدخل المحدود والمتقاعدين هم أولويتنا لهذا نقدم خصومات وعروض لكل الذين ارهقتهم التزامات الحياة.
٣- أطعام الطعام بحب وكرم وجودة غاية اهدافنا وأهمها.
٤- لا ننوي تحطيم الاسعار على زملاء المجال لاننا نثق ان الارزاق حق تكفل به الخالق عزوجل.",,65,"Name: مطعم بيتزا
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7/@27.498479999999997,41.6921356?authuser=0&hl=ar&entry=ttu
Reviews: 283 reviews

Name: مطعم فطيرة الثامنة مساءا
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D9%81%D8%B7%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%AB%D8%A7%D9%85%D9%86%D8%A9+%D9%85%D8%B3%D8%A7%D8%A1%D8%A7/@27.5526552,41.6834281?authuser=0&hl=ar&entry=ttu
Reviews: 51 reviews

Name: ركن البيتزا والفطائر
Link: https://www.google.com/maps/search/%D8%B1%D9%83%D9%86+%D8%A7%D9%84%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A7%D9%84%D9%81%D8%B7%D8%A7%D8%A6%D8%B1/@27.5530829,41.680968799999995?authuser=0&hl=ar&entry=ttu
Reviews: 33 reviews

Name: بيتزا هب طبق فطاعر بروست
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%87%D8%A8+%D8%B7%D8%A8%D9%82+%D9%81%D8%B7%D8%A7%D8%B9%D8%B1+%D8%A8%D8%B1%D9%88%D8%B3%D8%AA/@27.551263199999998,41.743463299999995?authuser=0&hl=ar&entry=ttu
Reviews: 7 reviews",null,055 861 2908,,8pmpizza (المالك),https://www.google.com/maps/contrib/108845345555797297523,https://lh3.ggpht.com/p/AF1QipM_MWqHOxtnw4t6pOm1nbockB-SPcAUd7Uh-9o5=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",جدة، المنتزه الغربي، حائل 55427,"اسعار, من, ماشاءالله, النظافه, جميل, خضار, معلم, فعلا, عليه, محترم",https://www.google.com/maps/place/8pmpizza/data=!4m7!3m6!1s0x157647c5134e3e59:0xc8248992b9d678d4!8m2!3d27.5526574!4d41.6834429!16s%2Fg%2F11svl6wr8c!19sChIJWT5OE8VHdhUR1HjWuZKJJMg?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJ9226Z-U_dhURyGry1m9vxlA,سباريتا باستا,مطعم باستا مختصة بالطريقة الإيطالية,,94,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: ماسا باستا
Link: https://www.google.com/maps/search/%D9%85%D8%A7%D8%B3%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4806667,41.6719267?authuser=0&hl=ar&entry=ttu
Reviews: 615 reviews

Name: بيتزاتو
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%AA%D9%88/@27.4861944,41.6767709?authuser=0&hl=ar&entry=ttu
Reviews: 114 reviews

Name: باستا زون
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86/@27.515367899999998,41.640890899999995?authuser=0&hl=ar&entry=ttu
Reviews: 77 reviews

Name: كازا باستا
Link: https://www.google.com/maps/search/%D9%83%D8%A7%D8%B2%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4739465,41.677354099999995?authuser=0&hl=ar&entry=ttu
Reviews: 35 reviews",null,054 771 6126,,سباريتا باستا (المالك),https://www.google.com/maps/contrib/104754398293686569426,https://lh3.ggpht.com/p/AF1QipO6IdqmR7SXSWQMYFe5PCJR5pGx6iAeO-L77GbM=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",فهد العلى العريفي، النقرة، حائل 55431,"قصدير, السعر, خضار, الطلب, فاهيتا, جاهز, الروبيان, ورق العنب, شيء, العامل",https://www.google.com/maps/place/%D8%B3%D8%A8%D8%A7%D8%B1%D9%8A%D8%AA%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x15763fe567ba6df7:0x50c66f6fd6f26ac8!8m2!3d27.4779074!4d41.6700822!16s%2Fg%2F11khj874fw!19sChIJ9226Z-U_dhURyGry1m9vxlA?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJm3ybh_FHdhUR0a5KZCHFFho,كروبس|CROPS ITALY,null,,57,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: روقو روكو|RUGA ROKO
Link: https://www.google.com/maps/search/%D8%B1%D9%88%D9%82%D9%88+%D8%B1%D9%88%D9%83%D9%88%7CRUGA+ROKO/@27.4861316,41.6666366?authuser=0&hl=ar&entry=ttu
Reviews: 539 reviews

Name: باستا زون
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86/@27.515367899999998,41.640890899999995?authuser=0&hl=ar&entry=ttu
Reviews: 77 reviews

Name: روما وَي
Link: https://www.google.com/maps/search/%D8%B1%D9%88%D9%85%D8%A7+%D9%88%D9%8E%D9%8A/@27.554272899999997,41.6814563?authuser=0&hl=ar&entry=ttu
Reviews: 62 reviews

Name: السمراء
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B3%D9%85%D8%B1%D8%A7%D8%A1/@27.4959995,41.709185399999996?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews",https://www.instagram.com/crops.ksa?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,058 000 7302,,كروبس|CROPS ITALY (المالك),https://www.google.com/maps/contrib/103539348876894723452,https://lh3.ggpht.com/p/AF1QipPB4_Jo2pUiTZpqTB013ceJ0TlTulbeGMjHzGbb=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",منتزة السمراء الترفيهي، الخريمي، حائل 55425,"الخيال, تجربة, العاملين, واخلاق, الجبل, مستقيم, دخول, النواحي, بيتزا مارجريتا, بالليل",https://www.google.com/maps/place/%D9%83%D8%B1%D9%88%D8%A8%D8%B3%7CCROPS+ITALY%E2%80%AD/data=!4m7!3m6!1s0x157647f1879b7c9b:0x1a16c521644aaed1!8m2!3d27.5227278!4d41.7263275!16s%2Fg%2F11vk2h7b58!19sChIJm3ybh_FHdhUR0a5KZCHFFho?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJwfNbgrFBdhURSLVepe2ZRh8,ديل بوستو لاونج,International food,,423,"Name: OPALO pizzera | اوبالو بيتزاريا
Link: https://www.google.com/maps/search/OPALO+pizzera+%7C+%D8%A7%D9%88%D8%A8%D8%A7%D9%84%D9%88+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%B1%D9%8A%D8%A7/@27.464227800000003,41.645795799999995?authuser=0&hl=ar&entry=ttu
Reviews: 401 reviews

Name: بيتزاتو
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%AA%D9%88/@27.4861944,41.6767709?authuser=0&hl=ar&entry=ttu
Reviews: 114 reviews

Name: باستا زون
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86/@27.515367899999998,41.640890899999995?authuser=0&hl=ar&entry=ttu
Reviews: 77 reviews

Name: بابيتو كافيه
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%A8%D9%8A%D8%AA%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@27.520179900000002,41.678029699999996?authuser=0&hl=ar&entry=ttu
Reviews: 23 reviews

Name: مطاعم أدل
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%A7%D8%B9%D9%85+%D8%A3%D8%AF%D9%84/@27.572446799999998,41.6720052?authuser=0&hl=ar&entry=ttu
Reviews: 3 reviews",http://www.del-posto.com/,null,,ديل بوستو لاونج (المالك),https://www.google.com/maps/contrib/106558886104787458395,https://lh3.ggpht.com/p/AF1QipNGNfAV26y20IsNjBNGFPmS4GWwYb66f0csFI8c=s1024,مطعم مأكولات إيطالية,"مطعم مأكولات إيطالية, مطعم مأكولات آسيوية, كافيه, مطعم مأكولات الشرق الأوسط",3.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","6724 المعارف، حي الورود، 2190, حائل 55427","جميل, الطلب, الاغاني, بارد, بعد, حلوه, الشيشه, الأسف, جبال, موظف",https://www.google.com/maps/place/%D8%AF%D9%8A%D9%84+%D8%A8%D9%88%D8%B3%D8%AA%D9%88+%D9%84%D8%A7%D9%88%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x157641b1825bf3c1:0x1f4699eda55eb548!8m2!3d27.5436522!4d41.6660457!16s%2Fg%2F11syrqgvs3!19sChIJwfNbgrFBdhURSLVepe2ZRh8?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJ4VK2_CBBdhUR_ntCdrrskRI,باستا زون,null,,77,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: سباريتا باستا
Link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%A7%D8%B1%D9%8A%D8%AA%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4779074,41.670082199999996?authuser=0&hl=ar&entry=ttu
Reviews: 94 reviews

Name: مطعم تذوق الطعم
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%AA%D8%B0%D9%88%D9%82+%D8%A7%D9%84%D8%B7%D8%B9%D9%85/@27.522330699999998,41.64869230000001?authuser=0&hl=ar&entry=ttu
Reviews: 54 reviews

Name: كازا باستا
Link: https://www.google.com/maps/search/%D9%83%D8%A7%D8%B2%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4739465,41.677354099999995?authuser=0&hl=ar&entry=ttu
Reviews: 35 reviews

Name: مطعم برجر باستا
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D8%B1%D8%AC%D8%B1+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.5718687,41.7143624?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",null,053 302 5997,1,باستا زون (المالك),null,https://lh3.ggpht.com/p/AF1QipNrt0BdduTIEdIyBGWd9IK4jGyxGnwS1v-RHiK_=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","2364، صبابة، 6159, Saudi Arabia, حائل 55461","الدجاج, حرفيا, شيء, النظافه, كمية, الاخلاق, قصدير, مبالغه, نكهه, واحترام",https://www.google.com/maps/place/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x15764120fcb652e1:0x1291ecba76427bfe!8m2!3d27.5153679!4d41.6408909!16s%2Fg%2F11rkb0sc8h!19sChIJ4VK2_CBBdhUR_ntCdrrskRI?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJ_8Xr29M_dhURKgFGhYcUnhc,كازا باستا,"مجموعة مطعم كازا باستا (مطاعم كازا باستا شركة مطاعم سعودية 100%، قصة نجاح سعودية بدأت من فرع واحد في سنة 2005 والآن لديهم فروع كثيرة في أغلب مدن المملكه إبتداءاً من الرياض و جدة ومكة والقصيم والدمام والخبر و جاري العمل على خطة انتشار قوية لتغطية مدن المملكة المتبقية) .
المميز بمطعم كازا باستا الطعم اللذيذ وأنه أول مطعم في المملكة بهذا الشكل (تحصل على باستا طازجة لذيذة بسرعة وبسعر مناسب جدًا) وتحضر أمام العميل.
العميل يمكنه إختيار الصوص ونوع الباستا التي يحب وايضاً نوع الاضافات حسب رغبته وهذا من أهم ما يميز كازا باستا، العميل يمكن يتفنن في تحضير الباستا وياكل كل يوم باستا مختلفه على ذوقة
الصوصات المقدمة صوصات مصنوعة محليًا من مصانعنا.",,35,"Name: بروكلي بيتزا وباستا
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4847011,41.6749432?authuser=0&hl=ar&entry=ttu
Reviews: 987 reviews

Name: ماسا باستا
Link: https://www.google.com/maps/search/%D9%85%D8%A7%D8%B3%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4806667,41.6719267?authuser=0&hl=ar&entry=ttu
Reviews: 615 reviews

Name: سباريتا باستا
Link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%A7%D8%B1%D9%8A%D8%AA%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4779074,41.670082199999996?authuser=0&hl=ar&entry=ttu
Reviews: 94 reviews

Name: باستا زون
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86/@27.515367899999998,41.640890899999995?authuser=0&hl=ar&entry=ttu
Reviews: 77 reviews

Name: مطعم برجر باستا
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D8%B1%D8%AC%D8%B1+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.5718687,41.7143624?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",https://qrco.de/CASAPASTA,9200 12111,,كازا باستا (المالك),https://www.google.com/maps/contrib/117516815281208197506,https://lh3.ggpht.com/p/AF1QipOBz_06H62jOsjpnfJH2kWgvoYw-BdFsoxnCrP8=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.1,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","العثيم مول, An Naqrah, Hail 55431, Othaim Mall ، طريق الملك سعود، النقرة، حائل 55431 جراند مول, حائل","الطلب, تجربة",https://www.google.com/maps/place/%D9%83%D8%A7%D8%B2%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x15763fd3dbebc5ff:0x179e14878546012a!8m2!3d27.4739465!4d41.6773541!16s%2Fg%2F11nn2bm2h3!19sChIJ_8Xr29M_dhURKgFGhYcUnhc?authuser=0&hl=ar&rclk=1,italian restaurants in hail
ChIJU6KoS1E_dhURNnk0i_HbNp0,بروكلي بيتزا وباستا,null,,987,"Name: ماسا باستا
Link: https://www.google.com/maps/search/%D9%85%D8%A7%D8%B3%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4806667,41.6719267?authuser=0&hl=ar&entry=ttu
Reviews: 615 reviews

Name: بيتزاتو
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%AA%D9%88/@27.4861944,41.6767709?authuser=0&hl=ar&entry=ttu
Reviews: 114 reviews

Name: سباريتا باستا
Link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%A7%D8%B1%D9%8A%D8%AA%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4779074,41.670082199999996?authuser=0&hl=ar&entry=ttu
Reviews: 94 reviews

Name: باستا زون
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%B2%D9%88%D9%86/@27.515367899999998,41.640890899999995?authuser=0&hl=ar&entry=ttu
Reviews: 77 reviews

Name: كازا باستا
Link: https://www.google.com/maps/search/%D9%83%D8%A7%D8%B2%D8%A7+%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@27.4739465,41.677354099999995?authuser=0&hl=ar&entry=ttu
Reviews: 35 reviews",http://www.broccolipizzaandpasta.com/,null,,بروكلي بيتزا وباستا (المالك),https://www.google.com/maps/contrib/104564087427546064851,https://lh3.ggpht.com/p/AF1QipP-FGOdbVKeI4rAq7tvGlKEYMdefK1mUHK9nRrY=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,3.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","النقرة، Fahad Alarifi, Alngrah, حائل","النظافه, الطلب, تجربة, العامل, خيال, نظيف, المستوى, سرعة, عليه, المنطقه",https://www.google.com/maps/place/%D8%A8%D8%B1%D9%88%D9%83%D9%84%D9%8A+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x15763f514ba8a253:0x9d36dbf18b347936!8m2!3d27.4847011!4d41.6749432!16s%2Fg%2F11c1wwpcxs!19sChIJU6KoS1E_dhURNnk0i_HbNp0?authuser=0&hl=ar&rclk=1,italian restaurants in hail
