place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJZSlZuZDawxURMyRcU8tDemE,فوغو دي تشاو,سلسلة مطاعم برازيلية راقية تشمل بارًا كبيرًا للسلطات ومائدة بوفيه مفتوحة من اللحوم التي تُقطَّع بجوار المائدة,,9446,"Name: براسا دي برازيل
Link: https://www.google.com/maps/search/%D8%A8%D8%B1%D8%A7%D8%B3%D8%A7+%D8%AF%D9%8A+%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84/@21.519319,39.164575899999996?authuser=0&hl=ar&entry=ttu
Reviews: 6588 reviews

Name: ستيك هاوس
Link: https://www.google.com/maps/search/%D8%B3%D8%AA%D9%8A%D9%83+%D9%87%D8%A7%D9%88%D8%B3/@21.6379375,39.1319375?authuser=0&hl=ar&entry=ttu
Reviews: 4577 reviews

Name: بودومورو
Link: https://www.google.com/maps/search/%D8%A8%D9%88%D8%AF%D9%88%D9%85%D9%88%D8%B1%D9%88/@21.646183,39.128445?authuser=0&hl=ar&entry=ttu
Reviews: 3158 reviews

Name: بوكودور
Link: https://www.google.com/maps/search/%D8%A8%D9%88%D9%83%D9%88%D8%AF%D9%88%D8%B1/@21.6132875,39.140709199999996?authuser=0&hl=ar&entry=ttu
Reviews: 69 reviews

Name: Vaquero Restaurant by Galleria Hotel Jeddah
Link: https://www.google.com/maps/search/Vaquero+Restaurant+by+Galleria+Hotel+Jeddah/@21.5519682,39.1629254?authuser=0&hl=ar&entry=ttu
Reviews: 49 reviews",http://www.fogome.com/,9200 06815,,فوغو دي تشاو (المالك),https://www.google.com/maps/contrib/100467958766221580325,https://lh3.ggpht.com/p/AF1QipM_rYlXZNeWBn_X9d8_9YbWpCSidpx6FXebrPpU=s1024,مطعم مأكولات برازيلية,"مطعم مأكولات برازيلية, مطعم",4.6,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الأمير سلطان، حي الزهراء، الزهراء، جدة 23424,"شريط السلطة, الضيافة, صالة الطعام, البوفيه, السير, المقبلات, شيشه, إنديد.كوم, لحم غزال, نعام شائع",https://www.google.com/maps/place/%D9%81%D9%88%D8%BA%D9%88+%D8%AF%D9%8A+%D8%AA%D8%B4%D8%A7%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3da90b9592965:0x617a43cb535c2433!8m2!3d21.575971!4d39.142943!16s%2Fg%2F11bzpxxnjp!19sChIJZSlZuZDawxURMyRcU8tDemE?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJPbAffhDQwxURryeARBTY7Hk,بي اف تشانغز,"P.F. Chang’s is an Asian restaurant using the simple, time-honoured tradition of wok cooking to ensure all recipes are made from scratch.",,5534,"Name: مطعم الخليج الصيني
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC+%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A/@21.563024499999997,39.1624166?authuser=0&hl=ar&entry=ttu
Reviews: 3260 reviews

Name: شانغ بالاس
Link: https://www.google.com/maps/search/%D8%B4%D8%A7%D9%86%D8%BA+%D8%A8%D8%A7%D9%84%D8%A7%D8%B3/@21.622885999999998,39.1080209?authuser=0&hl=ar&entry=ttu
Reviews: 1391 reviews

Name: P.F. Chang's
Link: https://www.google.com/maps/search/P.F.+Chang's/@21.6275841,39.111180399999995?authuser=0&hl=ar&entry=ttu
Reviews: 1364 reviews

Name: كانتون
Link: https://www.google.com/maps/search/%D9%83%D8%A7%D9%86%D8%AA%D9%88%D9%86/@21.5060725,39.2178769?authuser=0&hl=ar&entry=ttu
Reviews: 276 reviews

Name: مطعم شنغهاي الصيني
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%B4%D9%86%D8%BA%D9%87%D8%A7%D9%8A+%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A/@21.485811,39.192504799999995?authuser=0&hl=ar&entry=ttu
Reviews: 4 reviews",https://www.pfchangsme.com/sa/jeddah/le-mall?utm_source=GMB&utm_medium=Yext&y_source=1_MTU0Nzg5ODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,012 261 7021,,بي اف تشانغز (المالك),https://www.google.com/maps/contrib/112175315833424636533,https://lh3.ggpht.com/p/AF1QipORvfrFI_PV6MDtBQvtabUfe8xOS9O_59Dyvu8J=s1024,مطعم يقدم خليطًا من المأكولات الآسيوية,مطعم يقدم خليطًا من المأكولات الآسيوية,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Le Mall, الأندلس، جدة 23326","تجربة, لحم البقر المنغولي, الديناميت الروبيان, الطلب, شريمب, موظف, مدير, دجاج بالسمسم, الشكر, مدير فرع",https://www.google.com/maps/place/%D8%A8%D9%8A+%D8%A7%D9%81+%D8%AA%D8%B4%D8%A7%D9%86%D8%BA%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x15c3d0107e1fb03d:0x79ecd814448027af!8m2!3d21.5533962!4d39.1675351!16s%2Fg%2F1ptw3cvjl!19sChIJPbAffhDQwxURryeARBTY7Hk?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJC6SL88TRwxUR25AMKn7mMr4,مطعم ذا باي الهندي | The Bay Restaurant,مطعم ذا باي الهندي,,6572,"Name: مطعم ذا باي الهندي
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%B0%D8%A7+%D8%A8%D8%A7%D9%8A+%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A/@21.549149099999998,39.164631299999996?authuser=0&hl=ar&entry=ttu
Reviews: 2608 reviews

Name: مطعم باب الهند
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D8%A7%D8%A8+%D8%A7%D9%84%D9%87%D9%86%D8%AF/@21.49995,39.187569599999996?authuser=0&hl=ar&entry=ttu
Reviews: 2140 reviews

Name: مطعم الغابه
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%BA%D8%A7%D8%A8%D9%87/@21.6147924,39.162364499999995?authuser=0&hl=ar&entry=ttu
Reviews: 334 reviews

Name: Punjab restaurant (Bani malik)
Link: https://www.google.com/maps/search/Punjab+restaurant+(Bani+malik)/@21.6064994,39.1666123?authuser=0&hl=ar&entry=ttu
Reviews: 130 reviews

Name: Palace Restaurant مطعم القصر
Link: https://www.google.com/maps/search/Palace+Restaurant+%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%82%D8%B5%D8%B1/@21.5901045,39.1669155?authuser=0&hl=ar&entry=ttu
Reviews: 23 reviews",null,056 737 6165,,مطعم ذا باي الهندي | The Bay Restaurant (المالك),https://www.google.com/maps/contrib/111440155244908035716,https://lh3.ggpht.com/p/AF1QipNNj-4wQ5sj8kJTjaA-If-eRl0CekpvWdXzyIiV=s1024,مطعم مأكولات هندية,مطعم مأكولات هندية,4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",قريش، البوادي، جدة 23443,"شاهد, الاخت, دعاء, ايدام, المقبلات, شروق, جمبري, البتر, تكي, بالاك",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%B0%D8%A7+%D8%A8%D8%A7%D9%8A+%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%8A+%7C+The+Bay+Restaurant%E2%80%AD/data=!4m7!3m6!1s0x15c3d1c4f38ba40b:0xbe32e67e2a0c90db!8m2!3d21.5990463!4d39.165409!16s%2Fg%2F11k5l6frq6!19sChIJC6SL88TRwxUR25AMKn7mMr4?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJr7siXarawxURGedypt4lvyU,ميازو,"EXQUISITE CONTEMPORARY
JAPANESE CUISINE",,3164,"Name: Ukiyo By Zn
Link: https://www.google.com/maps/search/Ukiyo+By+Zn/@21.5468838,39.142909100000004?authuser=0&hl=ar&entry=ttu
Reviews: 574 reviews

Name: وكامي
Link: https://www.google.com/maps/search/%D9%88%D9%83%D8%A7%D9%85%D9%8A/@21.5612285,39.160049099999995?authuser=0&hl=ar&entry=ttu
Reviews: 547 reviews

Name: زن
Link: https://www.google.com/maps/search/%D8%B2%D9%86/@21.546877000000002,39.142886?authuser=0&hl=ar&entry=ttu
Reviews: 355 reviews

Name: KAYZO by MYAZU
Link: https://www.google.com/maps/search/KAYZO+by+MYAZU/@21.550805099999998,39.1529234?authuser=0&hl=ar&entry=ttu
Reviews: 23 reviews",https://www.myazu.com/,9200 10434,,ميازو (المالك),https://www.google.com/maps/contrib/115210067701179106713,https://lh3.ggpht.com/p/AF1QipNaa3LY1phCBLlQlm8gMRSk2pWmrjWl1npIt37D=s1024,مطعم مأكولات يابانية,"مطعم مأكولات يابانية, مطعم راقٍ, صالات, مطعم, مطعم سوشي",4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",الروضة،,"مطعم فاخر, واغيو, موهيتو, شطيرة الهامبرغر سليدر, شرمب, بوب كورن, أسماك الرمال, كعكة التمر, ذاكرة الوصول العشوائي, أرز الفطر",https://www.google.com/maps/place/%D9%85%D9%8A%D8%A7%D8%B2%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3daaa5d22bbaf:0x25bf25dea672e719!8m2!3d21.5504485!4d39.1529419!16s%2Fg%2F11ggm_j89x!19sChIJr7siXarawxURGedypt4lvyU?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJ5fqwHFrbwxURw2LWG8S7oIY,BURNT BY BUNS,null,,1134,"Name: سنشري برجر
Link: https://www.google.com/maps/search/%D8%B3%D9%86%D8%B4%D8%B1%D9%8A+%D8%A8%D8%B1%D8%AC%D8%B1/@21.55499,39.1432296?authuser=0&hl=ar&entry=ttu
Reviews: 16904 reviews

Name: سكشن-بي
Link: https://www.google.com/maps/search/%D8%B3%D9%83%D8%B4%D9%86-%D8%A8%D9%8A/@21.5498501,39.1435337?authuser=0&hl=ar&entry=ttu
Reviews: 2945 reviews

Name: بنباستيك برجر
Link: https://www.google.com/maps/search/%D8%A8%D9%86%D8%A8%D8%A7%D8%B3%D8%AA%D9%8A%D9%83+%D8%A8%D8%B1%D8%AC%D8%B1/@21.5702818,39.1432962?authuser=0&hl=ar&entry=ttu
Reviews: 1028 reviews

Name: Buriman House of Donuts
Link: https://www.google.com/maps/search/Buriman+House+of+Donuts/@21.5779145,39.2312569?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews",null,053 206 7991,,BURNT BY BUNS (المالك),https://www.google.com/maps/contrib/112924531897852613642,https://lh3.ggpht.com/p/AF1QipOUFRQ61UvjVB90EwB1e-pR1OHny2PitrQdBVMW=s1024,مطعم,"مطعم, مطعم للإفطار",4.3,نعمل على مدار 24 ساعة,,Open All Days,طريق الامير سلطان، السلامة، جدة 23436,"موهيتو, كبسة, شطيرة الهامبرغر سليدر, أرانشيني, خبز الثوم بالجبنة الكريمية الكورية, لحم البقر دونبوري, خبز الجبن, برجر الكمأة, الكيل, سندويشات التاكو قصيرة الضلع",https://www.google.com/maps/place/BURNT+BY+BUNS/data=!4m7!3m6!1s0x15c3db5a1cb0fae5:0x86a0bbc41bd662c3!8m2!3d21.5825007!4d39.1439145!16s%2Fg%2F11hjb37_0q!19sChIJ5fqwHFrbwxURw2LWG8S7oIY?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJXboUKKbawxURKD1usyXjE3I,سلطان ستيك هاوس,null,,3151,"Name: ستيك هاوس
Link: https://www.google.com/maps/search/%D8%B3%D8%AA%D9%8A%D9%83+%D9%87%D8%A7%D9%88%D8%B3/@21.6379375,39.1319375?authuser=0&hl=ar&entry=ttu
Reviews: 4577 reviews

Name: سلطان دي لايت برجر
Link: https://www.google.com/maps/search/%D8%B3%D9%84%D8%B7%D8%A7%D9%86+%D8%AF%D9%8A+%D9%84%D8%A7%D9%8A%D8%AA+%D8%A8%D8%B1%D8%AC%D8%B1/@21.5681875,39.1616875?authuser=0&hl=ar&entry=ttu
Reviews: 1942 reviews

Name: تركي شيف
Link: https://www.google.com/maps/search/%D8%AA%D8%B1%D9%83%D9%8A+%D8%B4%D9%8A%D9%81/@21.569708199999997,39.165890999999995?authuser=0&hl=ar&entry=ttu
Reviews: 509 reviews",null,055 591 9771,,سلطان ستيك هاوس (المالك),https://www.google.com/maps/contrib/106358709091990466736,https://lh3.ggpht.com/p/AF1QipObCYjhRCjty_okItNF_pt0uvlE7zzCRwEEbB-u=s1024,مطعم مأكولات تركية,"مطعم مأكولات تركية, مطعم شرائح اللحم",4.2,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",سعود الفيصل، الروضة، جدة 23431,"البقلاوة, الريش, شاشليك, عصير, غنم, فيليه, الحلى, شيشة, خياليه, أسادو",https://www.google.com/maps/place/%D8%B3%D9%84%D8%B7%D8%A7%D9%86+%D8%B3%D8%AA%D9%8A%D9%83+%D9%87%D8%A7%D9%88%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x15c3daa62814ba5d:0x7213e325b36e3d28!8m2!3d21.5581398!4d39.1509182!16s%2Fg%2F11bxf96crj!19sChIJXboUKKbawxURKD1usyXjE3I?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJu1UW2WzawxUR8MSuy51UO3Q,مطعم خيال,null,,34333,"Name: مطعم تركي قربان
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%AA%D8%B1%D9%83%D9%8A+%D9%82%D8%B1%D8%A8%D8%A7%D9%86/@21.6157131,39.145567199999995?authuser=0&hl=ar&entry=ttu
Reviews: 648 reviews

Name: كنافة خيال
Link: https://www.google.com/maps/search/%D9%83%D9%86%D8%A7%D9%81%D8%A9+%D8%AE%D9%8A%D8%A7%D9%84/@21.5275709,39.2193507?authuser=0&hl=ar&entry=ttu
Reviews: 180 reviews

Name: بوفيه خياله
Link: https://www.google.com/maps/search/%D8%A8%D9%88%D9%81%D9%8A%D9%87+%D8%AE%D9%8A%D8%A7%D9%84%D9%87/@21.5361524,39.1761029?authuser=0&hl=ar&entry=ttu
Reviews: 7 reviews

Name: مطعم خيال القرنية
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%AE%D9%8A%D8%A7%D9%84+%D8%A7%D9%84%D9%82%D8%B1%D9%86%D9%8A%D8%A9/@21.316878,39.2578775?authuser=0&hl=ar&entry=ttu
Reviews: 5 reviews

Name: خيالة للوجبات السريعه
Link: https://www.google.com/maps/search/%D8%AE%D9%8A%D8%A7%D9%84%D8%A9+%D9%84%D9%84%D9%88%D8%AC%D8%A8%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9%D9%87/@21.485811,39.192504799999995?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",http://www.khayalrest.com/,9200 02223,,مطعم خيال (المالك),https://www.google.com/maps/contrib/103101011326566253966,https://lh3.ggpht.com/p/AF1QipPnT6U5Z6KIdNXODtCgtuHp8SvLglquqOZxoLTF=s1024,مطعم مأكولات الشرق الأوسط,"مطعم مأكولات الشرق الأوسط, متجر شواء",4.2,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الامير سلطان، الزهراء، جدة 23522,"خصوصية, اسم على مسمى, طاجن, الريش, اسكندر كباب, الإسكندر الأكبر, عصير الرمان, ستارة, قشقوان, اللحوم الباردة",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%AE%D9%8A%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x15c3da6cd91655bb:0x743b549dcbaec4f0!8m2!3d21.6095822!4d39.1410604!16s%2Fg%2F1hc1wq7dk!19sChIJu1UW2WzawxUR8MSuy51UO3Q?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJKciuCY3PwxURL6Q9WAPydWI,مطعم نينو,"Relaxed Italian restaurant serving up classic comfort food staples like pasta, risotto & pizza.",,3584,"Name: بيتزا لينيو
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%84%D9%8A%D9%86%D9%8A%D9%88/@21.5138481,39.161190100000006?authuser=0&hl=ar&entry=ttu
Reviews: 3402 reviews

Name: مطعم كوريانا
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D9%83%D9%88%D8%B1%D9%8A%D8%A7%D9%86%D8%A7/@21.5351501,39.1653437?authuser=0&hl=ar&entry=ttu
Reviews: 1018 reviews

Name: Pronto Restaurant
Link: https://www.google.com/maps/search/Pronto+Restaurant/@21.5724944,39.132503199999995?authuser=0&hl=ar&entry=ttu
Reviews: 399 reviews

Name: لورينزو بيتزا وباستا
Link: https://www.google.com/maps/search/%D9%84%D9%88%D8%B1%D9%8A%D9%86%D8%B2%D9%88+%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7+%D9%88%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/@21.5201212,39.1569642?authuser=0&hl=ar&entry=ttu
Reviews: 152 reviews",http://nino-me.com/,012 665 7377,,مطعم نينو (المالك),https://www.google.com/maps/contrib/101377799287853545479,https://lh3.ggpht.com/p/AF1QipOYR3HPgceHxPCjG0kCVUC_OfKPTid1BON7XzO6=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",شارع فلسطين، الحمراء، جدة 23212,"الطلب, السوشي, كوبون, الكينوا, المقبلات, خصوصيه, الحلى, الشمندر, اطباق, راب",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%86%D9%8A%D9%86%D9%88%E2%80%AD/data=!4m7!3m6!1s0x15c3cf8d09aec829:0x6275f203583da42f!8m2!3d21.5227492!4d39.1632488!16s%2Fg%2F11c45hvx1k!19sChIJKciuCY3PwxURL6Q9WAPydWI?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJIf4HeczFwxUR7--yVh3sdTQ,سكشن-بي,The new Section-B,,2950,"Name: سكشن بي
Link: https://www.google.com/maps/search/%D8%B3%D9%83%D8%B4%D9%86+%D8%A8%D9%8A/@21.604810999999998,39.116205799999996?authuser=0&hl=ar&entry=ttu
Reviews: 12341 reviews

Name: Section B
Link: https://www.google.com/maps/search/Section+B/@21.6060577,39.1188028?authuser=0&hl=ar&entry=ttu
Reviews: 803 reviews

Name: Circle section
Link: https://www.google.com/maps/search/Circle+section/@21.5913753,39.1317233?authuser=0&hl=ar&entry=ttu
Reviews: 632 reviews

Name: شيلبي Shelby
Link: https://www.google.com/maps/search/%D8%B4%D9%8A%D9%84%D8%A8%D9%8A+Shelby/@21.647411599999998,39.1278936?authuser=0&hl=ar&entry=ttu
Reviews: 284 reviews

Name: ساين برجر Sign Burger
Link: https://www.google.com/maps/search/%D8%B3%D8%A7%D9%8A%D9%86+%D8%A8%D8%B1%D8%AC%D8%B1+Sign+Burger/@21.6058628,39.121592899999996?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",http://www.pillars.com.sa/,null,,سكشن-بي (المالك),https://www.google.com/maps/contrib/115014098545005590980,https://lh3.ggpht.com/p/AF1QipM7xRG6W8zU_OzDLM7jFbIvrblvZwj0gcuNeDZ8=s1024,مطعم همبرغر,"مطعم همبرغر, مطعم",4.5,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","طريق الامير سلطان، Fayfa Avenue, جدة","بطاطا حلوة, بودنج الموز, خبز أسمر, طلبنا, الواقيو, الاغاني, واجيو برجر, اسمر, الخوخ, باشن فروت",https://www.google.com/maps/place/%D8%B3%D9%83%D8%B4%D9%86-%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x15c3c5cc7907fe21:0x3475ec1d56b2efef!8m2!3d21.5498501!4d39.1435337!16s%2Fg%2F11jyjbf09l!19sChIJIf4HeczFwxUR7--yVh3sdTQ?authuser=0&hl=ar&rclk=1,restaurants_jeddah
ChIJb1GhhhDQwxURDjHOC0sO0nM,تكساس رودهاوس,"Texas Roadhouse was founded by Kent Taylor in 1993 on the principles of fresh, authentic food made by hand. Steaks would be hand-cut, ribs would fall off the bone, the sides made from scratch and the bread baked fresh every five minutes. No shortcuts, just real food made fresh daily. Twenty-three years and 600 restaurants later, Texas Roadhouse is still committed to those same principles of quality. That true Texas Roadhouse experience can now be found around the world.",,8586,"Name: ستيك هاوس
Link: https://www.google.com/maps/search/%D8%B3%D8%AA%D9%8A%D9%83+%D9%87%D8%A7%D9%88%D8%B3/@21.510130699999998,39.2027873?authuser=0&hl=ar&entry=ttu
Reviews: 2583 reviews

Name: كريبس اوف ريبس
Link: https://www.google.com/maps/search/%D9%83%D8%B1%D9%8A%D8%A8%D8%B3+%D8%A7%D9%88%D9%81+%D8%B1%D9%8A%D8%A8%D8%B3/@21.5486832,39.164182100000005?authuser=0&hl=ar&entry=ttu
Reviews: 2364 reviews

Name: تكساس - texas
Link: https://www.google.com/maps/search/%D8%AA%D9%83%D8%B3%D8%A7%D8%B3+-+texas/@21.592409399999998,39.1861484?authuser=0&hl=ar&entry=ttu
Reviews: 1017 reviews

Name: تكساس برجر Texas Burger
Link: https://www.google.com/maps/search/%D8%AA%D9%83%D8%B3%D8%A7%D8%B3+%D8%A8%D8%B1%D8%AC%D8%B1+Texas+Burger/@21.5133547,39.2312758?authuser=0&hl=ar&entry=ttu
Reviews: 78 reviews

Name: The Good Butcher
Link: https://www.google.com/maps/search/The+Good+Butcher/@21.5670826,39.1400308?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://www.texasroadhouseme.com/sa/jeddah/le-mall?utm_source=GMB&utm_medium=Yext&y_source=1_MTU0ODEyODgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,012 261 7026,,تكساس رودهاوس (المالك),https://www.google.com/maps/contrib/100611241818381009077,https://lh3.ggpht.com/p/AF1QipPspZ58JrJwLO4SRZ_KY6XCDKQRcgY1C0aC7K5u=s1024,مطعم شرائح اللحم,مطعم شرائح اللحم,4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Le Mall, الأندلس، جدة 23326","الطلب, فول سوداني, المقبلات, الخصوصيه, مشوي, روبيان, ايام الاسبوع, ادمان, ليمون نعناع, عجبتني",https://www.google.com/maps/place/%D8%AA%D9%83%D8%B3%D8%A7%D8%B3+%D8%B1%D9%88%D8%AF%D9%87%D8%A7%D9%88%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x15c3d01086a1516f:0x73d20e4b0bce310e!8m2!3d21.5534298!4d39.1674852!16s%2Fg%2F1ptvzgp8y!19sChIJb1GhhhDQwxURDjHOC0sO0nM?authuser=0&hl=ar&rclk=1,restaurants_jeddah
