place_id,name,description,is_spending_on_ads,reviews,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJuUql6NYDLz4RGLZTdo6wOr0,جيميز إتاليان,null,,1730,"Name: جيمي الايطالي
Link: https://www.google.com/maps/search/%D8%AC%D9%8A%D9%85%D9%8A+%D8%A7%D9%84%D8%A7%D9%8A%D8%B7%D8%A7%D9%84%D9%8A/@24.765431000000003,46.715344699999996?authuser=0&hl=ar&entry=ttu
Reviews: 2937 reviews

Name: جيميز اتاليان
Link: https://www.google.com/maps/search/%D8%AC%D9%8A%D9%85%D9%8A%D8%B2+%D8%A7%D8%AA%D8%A7%D9%84%D9%8A%D8%A7%D9%86/@24.8401128,46.7331835?authuser=0&hl=ar&entry=ttu
Reviews: 588 reviews

Name: Jamie Oliver - Italian
Link: https://www.google.com/maps/search/Jamie+Oliver+-+Italian/@24.6959292,46.7285511?authuser=0&hl=ar&entry=ttu
Reviews: 89 reviews

Name: GEMINI
Link: https://www.google.com/maps/search/GEMINI/@24.695086999999997,46.680647199999996?authuser=0&hl=ar&entry=ttu
Reviews: 5 reviews",null,null,,جيميز إتاليان (المالك),https://www.google.com/maps/contrib/114900201417138205376,https://lh3.ggpht.com/p/AF1QipMYc4LniwzncWuhMjmGevH1khaEfPT2NLK-1uKM=s1024,مطعم مأكولات إيطالية,مطعم مأكولات إيطالية,4.6,null,,Open All Days,الملك عبد العزيز، الرياض 12411,"تجربة, السير, السيزر, الطلب, طلبنا, المقبلات, موهيتو, جيمي أوليفر, كما, طاقم",https://www.google.com/maps/place/%D8%AC%D9%8A%D9%85%D9%8A%D8%B2+%D8%A5%D8%AA%D8%A7%D9%84%D9%8A%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f03d6e8a54ab9:0xbd3ab08e7653b618!8m2!3d24.69644!4d46.729577!16s%2Fg%2F11jz42krtm!19sChIJuUql6NYDLz4RGLZTdo6wOr0?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJdZEv6ecCLz4RgqQ02zKka6Y,TOKYO - Al Wurud,"The finest in Japanese cuisine since 1985, Tokyo is the first Japanese restaurant in the kingdom of Saudi Arabia, serving modern fusion Japanese menu in a stylish environment with an up-scale sushi bar, Tea bar, Private room, and Teppanyaki rooms with live cooking where you have your private Chef and Butler. Known for having the best sushi rolls in town and the menu is diversified with all popular mouth-watering Japanese items from Sushi to Maki, Sashimi, Ramen, Noodles, Salads, Beef steak, chicken katsu, Udon, Black cod, and much more. Recognized by many F&B experts and got nominated and shortlisted on international awards lists. You can find us on our flagship branch AlUrubah Rd or Veranda F&B complex north ring road to enjoy the terrace.",,7579,"Name: طوكيو
Link: https://www.google.com/maps/search/%D8%B7%D9%88%D9%83%D9%8A%D9%88/@24.767035000000003,46.659451?authuser=0&hl=ar&entry=ttu
Reviews: 3497 reviews

Name: سوشي يوشي
Link: https://www.google.com/maps/search/%D8%B3%D9%88%D8%B4%D9%8A+%D9%8A%D9%88%D8%B4%D9%8A/@24.704821100000004,46.7061255?authuser=0&hl=ar&entry=ttu
Reviews: 1758 reviews

Name: يوكاري
Link: https://www.google.com/maps/search/%D9%8A%D9%88%D9%83%D8%A7%D8%B1%D9%8A/@24.6978109,46.6835542?authuser=0&hl=ar&entry=ttu
Reviews: 695 reviews

Name: Hana
Link: https://www.google.com/maps/search/Hana/@24.7135517,46.6752957?authuser=0&hl=ar&entry=ttu
Reviews: No Reviews reviews",https://tokyoarabia.com/,9200 09662,,TOKYO - Al Wurud (المالك),https://www.google.com/maps/contrib/112702151383465108059,https://lh3.ggpht.com/p/AF1QipPHLgHJEOaOu9vNxqChZd41GlX9-_ZJZVz2VKTb=s1024,مطعم مأكولات يابانية,"مطعم مأكولات يابانية, مطعم راقٍ, مطعم المأكولات اليابانية الأصيلة, مطعم سوشي, مطعم وجبات تيبانياكي, مطعم شعيرية أودون",4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق العروبة، الورود، الرياض 12245,"تاكو, بيف تندرلوين, سلطة السلطعون المقرمشة, الديناميت الروبيان, اندومي, موهيتو, الواقيو, بالفطر, لمن الأكل, ذرة شامية حلوة",https://www.google.com/maps/place/TOKYO+-+Al+Wurud/data=!4m7!3m6!1s0x3e2f02e7e92f9175:0xa66ba432db34a482!8m2!3d24.7181459!4d46.6867051!16s%2Fg%2F11_r91tmr!19sChIJdZEv6ecCLz4RgqQ02zKka6Y?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJ8YsLeQsDLz4RUWQagqXaTgc,ميازو,"EXQUISITE CONTEMPORARY
JAPANESE CUISINE",,7570,"Name: سوشي يوشي
Link: https://www.google.com/maps/search/%D8%B3%D9%88%D8%B4%D9%8A+%D9%8A%D9%88%D8%B4%D9%8A/@24.704821100000004,46.7061255?authuser=0&hl=ar&entry=ttu
Reviews: 1758 reviews

Name: نوزومي
Link: https://www.google.com/maps/search/%D9%86%D9%88%D8%B2%D9%88%D9%85%D9%8A/@24.7010494,46.6771162?authuser=0&hl=ar&entry=ttu
Reviews: 1668 reviews

Name: نوزومي تو جو
Link: https://www.google.com/maps/search/%D9%86%D9%88%D8%B2%D9%88%D9%85%D9%8A+%D8%AA%D9%88+%D8%AC%D9%88/@24.703066500000002,46.7143758?authuser=0&hl=ar&entry=ttu
Reviews: 68 reviews

Name: مطعم سحابي سوسورو
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%B3%D8%AD%D8%A7%D8%A8%D9%8A+%D8%B3%D9%88%D8%B3%D9%88%D8%B1%D9%88/@24.7608352,46.715857899999996?authuser=0&hl=ar&entry=ttu
Reviews: 52 reviews

Name: كيتامي سوشي ونودلز
Link: https://www.google.com/maps/search/%D9%83%D9%8A%D8%AA%D8%A7%D9%85%D9%8A+%D8%B3%D9%88%D8%B4%D9%8A+%D9%88%D9%86%D9%88%D8%AF%D9%84%D8%B2/@24.6903047,46.711683?authuser=0&hl=ar&entry=ttu
Reviews: 50 reviews",http://www.myazu.com/,9200 09686,,ميازو (المالك),https://www.google.com/maps/contrib/110681748119684157539,https://lh3.ggpht.com/p/AF1QipO1DEbAEj9-oc0mRtQZyDc5Ts_awf46ZEe3Qf4i=s1024,مطعم سوشي,"مطعم سوشي, مطعم مأكولات يابانية, صالات",4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",Musad Bin Jalawi، السليمانية، الرياض 12244,"أسماك الرمال, موهيتو, مطعم فاخر, شطيرة الهامبرغر سليدر, واقيو, الجمبري الفشار, أرز الفطر, نظام اللباس, سلطة البط, تاكيكومي جوهان",https://www.google.com/maps/place/%D9%85%D9%8A%D8%A7%D8%B2%D9%88%E2%80%AD/data=!4m7!3m6!1s0x3e2f030b790b8bf1:0x74edaa5821a6451!8m2!3d24.6999984!4d46.7048876!16s%2Fg%2F11b60h49gx!19sChIJ8YsLeQsDLz4RUWQagqXaTgc?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJz2EaJkzjLj4R7xqwcmYyu_M,مطعم ميزو,null,,11267,"Name: ميزو
Link: https://www.google.com/maps/search/%D9%85%D9%8A%D8%B2%D9%88/@24.8419435,46.733754499999996?authuser=0&hl=ar&entry=ttu
Reviews: 3018 reviews

Name: جيميز إتاليان
Link: https://www.google.com/maps/search/%D8%AC%D9%8A%D9%85%D9%8A%D8%B2+%D8%A5%D8%AA%D8%A7%D9%84%D9%8A%D8%A7%D9%86/@24.69644,46.729577?authuser=0&hl=ar&entry=ttu
Reviews: 1728 reviews

Name: مولتو
Link: https://www.google.com/maps/search/%D9%85%D9%88%D9%84%D8%AA%D9%88/@24.800007899999997,46.6467521?authuser=0&hl=ar&entry=ttu
Reviews: 1639 reviews

Name: باستا ديليزيا
Link: https://www.google.com/maps/search/%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7+%D8%AF%D9%8A%D9%84%D9%8A%D8%B2%D9%8A%D8%A7/@24.6664492,46.6831378?authuser=0&hl=ar&entry=ttu
Reviews: 222 reviews

Name: LA CROISETTE
Link: https://www.google.com/maps/search/LA+CROISETTE/@24.6869139,46.685474299999996?authuser=0&hl=ar&entry=ttu
Reviews: 4 reviews",null,011 244 4400,1,مطعم ميزو (المالك),null,https://lh3.ggpht.com/p/AF1QipN8_ZqpTuZyfs9gGgpUfWp4HJdK3D2TFk3gxWk=s1024,مطعم مأكولات إيطالية,"مطعم مأكولات إيطالية, مطعم",4.4,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",6689، 4100 الطريق الدائري الشمالي، الغدير، الرياض 13311 6689,"السوشي, امام, الموظف, موهيتو, شرمب, غانيشا, فارفاله, الكينوا, موظف, جائزة",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%85%D9%8A%D8%B2%D9%88%E2%80%AD/data=!4m7!3m6!1s0x3e2ee34c261a61cf:0xf3bb326672b01aef!8m2!3d24.767212!4d46.6594941!16s%2Fg%2F11h0vzldr3!19sChIJz2EaJkzjLj4R7xqwcmYyu_M?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJXyo1ZG8DLz4R4YfhrJpVgoM,ياواتشا,"Yauatcha Riyadh, located at Mode Al Faisaliah, is a Chinese dim sum tea house offering an all-day dining experience, ideal for a light lunch or large feasts and social drinks with friends and family.",,2589,"Name: لي شاتو
Link: https://www.google.com/maps/search/%D9%84%D9%8A+%D8%B4%D8%A7%D8%AA%D9%88/@24.7262369,46.652203899999996?authuser=0&hl=ar&entry=ttu
Reviews: 3783 reviews

Name: بيتوتي
Link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA%D9%88%D8%AA%D9%8A/@24.699312499999998,46.6894375?authuser=0&hl=ar&entry=ttu
Reviews: 1855 reviews

Name: فوشيا مطعم ولاونج
Link: https://www.google.com/maps/search/%D9%81%D9%88%D8%B4%D9%8A%D8%A7+%D9%85%D8%B7%D8%B9%D9%85+%D9%88%D9%84%D8%A7%D9%88%D9%86%D8%AC/@24.701038099999998,46.695404599999996?authuser=0&hl=ar&entry=ttu
Reviews: 1068 reviews

Name: مطعم درة الصين Durrat China Restaurant
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%AF%D8%B1%D8%A9+%D8%A7%D9%84%D8%B5%D9%8A%D9%86+Durrat+China+Restaurant/@24.7067206,46.6904494?authuser=0&hl=ar&entry=ttu
Reviews: 61 reviews",https://yauatcha.sa/ar?utm_source=google&utm_medium=organic&utm_content=yaurdh&utm_campaign=gmb,9200 06555,,ياواتشا (المالك),https://www.google.com/maps/contrib/118103487726344685146,https://lh3.ggpht.com/p/AF1QipPEjpYub9qBFcfgjSoNsdjgoyeQdf1PbJbfl3Fq=s1024,مطعم,مطعم,4.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الأمير سلطان بن عبدالعزيز، العليا، الرياض 12212,"ديم سم, دامبلنغ, سلطة البط, شاهد, ستيك مشوي ريب آي, بط بكين, دجاج كونغ باو, م. ص. حيوي, مطبخ سيتشواني, ميكو",https://www.google.com/maps/place/%D9%8A%D8%A7%D9%88%D8%A7%D8%AA%D8%B4%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3e2f036f64352a5f:0x8382559aace187e1!8m2!3d24.690014!4d46.6864312!16s%2Fg%2F11fphqlh7j!19sChIJXyo1ZG8DLz4R4YfhrJpVgoM?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJc0InEzsDLz4RBz-hzJBdYgs,لوسين,"Lusin Restaurant is a unique dining experience that transports you to the vibrant culture of Armenia. Our menu features a wide range of traditional Armenian dishes, each expertly crafted to showcase the unique flavors and aromas of this rich and vibrant culture. From savory kebabs and stuffed grape leaves, to sweet pastries and aromatic coffee, there is something for everyone at Lusin. As you dine, enjoy the lively Armenian music and take in the cultural atmosphere of the restaurant, which is adorned with colorful artwork and traditional decor. With its delicious food and beautiful setting, Lusin is sure to be a memorable dining experience. So why wait? Make a reservation at Lusin today and embark on a culinary journey to Armenia.",,5279,"Name: Assembly Mezze & Skewers
Link: https://www.google.com/maps/search/Assembly+Mezze+%26+Skewers/@24.7111837,46.673401?authuser=0&hl=ar&entry=ttu
Reviews: 69 reviews

Name: ذا فيو
Link: https://www.google.com/maps/search/%D8%B0%D8%A7+%D9%81%D9%8A%D9%88/@24.7007569,46.6782636?authuser=0&hl=ar&entry=ttu
Reviews: 35 reviews

Name: LA CROISETTE
Link: https://www.google.com/maps/search/LA+CROISETTE/@24.6869139,46.685474299999996?authuser=0&hl=ar&entry=ttu
Reviews: 4 reviews",https://lusinrestaurant.com/saudi/?utm_source=GMB&utm_medium=organic&utm_campaign=centria_mall,9200 02690,,لوسين (المالك),https://www.google.com/maps/contrib/109675236815935995730,https://lh3.ggpht.com/p/AF1QipPJtIXV7-k2nifDisQxMW3A_3EKxsELPMLCjBk=s1024,مطعم مأكولات من أرمينيا,"مطعم مأكولات من أرمينيا, مطعم مأكولات دول البحر المتوسط, مطعم مأكولات الشرق الأوسط, مطعم",4.1,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",طريق الأمير محمد بن عبدالعزيز، Centria Mall Olaya Street intersection with، الرياض,"كبة, كباب بالكرز, تبوله, حمص, ارمين, بطاطا حرة, الفتوش, شيش طاووق, الريش, غنم",https://www.google.com/maps/place/%D9%84%D9%88%D8%B3%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f033b13274273:0xb625d90cca13f07!8m2!3d24.6978193!4d46.6834524!16s%2Fg%2F113hzfkwn!19sChIJc0InEzsDLz4RBz-hzJBdYgs?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJn8XVZ80DLz4R8jTbAr-mLpM,زافران,"Zafran Indian Kitchen puts its soul into Indian cuisine by bringing back the cherished nostalgia of culture, life, and passion that is deep-rooted in the Indian subcontinent. The menu at Zafran is a mix of cherished Indian classics created with fresh local ingredients, giving way to a new narrative to Indian cuisine. Our extensive menu features juicy kebabs and appetizers, piping hot biryanis and curries, and delectable desserts offering a selection where there is something for everyone at Zafran. If you are looking for a casual dining experience, where you are served exquisite Indian delicacies, Zafran is the place for you.",,3215,"Name: Zafran Valley Restaurant مطعم وادي زعفران
Link: https://www.google.com/maps/search/Zafran+Valley+Restaurant+%D9%85%D8%B7%D8%B9%D9%85+%D9%88%D8%A7%D8%AF%D9%8A+%D8%B2%D8%B9%D9%81%D8%B1%D8%A7%D9%86/@24.684373,46.777236699999996?authuser=0&hl=ar&entry=ttu
Reviews: 2181 reviews

Name: مطعم توب فروم
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%AA%D9%88%D8%A8+%D9%81%D8%B1%D9%88%D9%85/@24.7549873,46.7083411?authuser=0&hl=ar&entry=ttu
Reviews: 341 reviews

Name: Sagar Indian Fast Food
Link: https://www.google.com/maps/search/Sagar+Indian+Fast+Food/@24.796004999999997,46.7431348?authuser=0&hl=ar&entry=ttu
Reviews: 333 reviews

Name: Zafran Malaz Restaurant , مطعم زعفران الملاز
Link: https://www.google.com/maps/search/Zafran+Malaz+Restaurant+%2C+%D9%85%D8%B7%D8%B9%D9%85+%D8%B2%D8%B9%D9%81%D8%B1%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D9%84%D8%A7%D8%B2/@24.6732968,46.729513399999995?authuser=0&hl=ar&entry=ttu
Reviews: 85 reviews

Name: مطعم زعفران العرب .ZAFRAN RESTAURANT
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%B2%D8%B9%D9%81%D8%B1%D8%A7%D9%86+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8+.ZAFRAN+RESTAURANT/@24.646863699999997,46.7164053?authuser=0&hl=ar&entry=ttu
Reviews: 2 reviews",https://www.zafranrestaurants.com/,054 328 8126,,زافران (المالك),https://www.google.com/maps/contrib/105223896676650796091,https://lh3.ggpht.com/p/AF1QipP69yPfqdOWngBuyFSzsicRqRbSAGqYz-EMP55N=s1024,مطعم مأكولات هندية,"مطعم مأكولات هندية, مطعم مأكولات آسيوية, مطعم برياني, بيسترو, مطعم عائلي, مطعم راقٍ, وجبات جاهزة هندية, مطعم موغلاي, مطعم",4.8,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","الملك عبد العزيز، 3224, الرياض 12411","bitto, مقبلات, الاقتراح, زعفران, برياني دجاج تكا, افطار رمضان, شامانية, العيد الملكي, طبق الدردشة, كعكة حليب الورد",https://www.google.com/maps/place/%D8%B2%D8%A7%D9%81%D8%B1%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f03cd67d5c59f:0x932ea6bf02db34f2!8m2!3d24.6954662!4d46.7292217!16s%2Fg%2F11p_4lypcs!19sChIJn8XVZ80DLz4R8jTbAr-mLpM?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJAQuMYGsDLz4RcdJShi6pS8E,سويس باتر,"Swiss Butter is a casual steakhouse that serves 3 mains: Beef filet or Ribeye, Chicken breast & Salmon filet smothered in our secret Swiss Butter sauce. All 3 mains are served with a mesclun salad, a freshly baked baguette, chili flakes and your choice of fries or a baked potato. We also serve a molten chocolate fondant and a pain perdu for dessert.",,8009,"Name: شاليمار
Link: https://www.google.com/maps/search/%D8%B4%D8%A7%D9%84%D9%8A%D9%85%D8%A7%D8%B1/@24.7445498,46.677660499999995?authuser=0&hl=ar&entry=ttu
Reviews: 2469 reviews

Name: ذا سويس بيسترو
Link: https://www.google.com/maps/search/%D8%B0%D8%A7+%D8%B3%D9%88%D9%8A%D8%B3+%D8%A8%D9%8A%D8%B3%D8%AA%D8%B1%D9%88/@24.7894856,46.6797567?authuser=0&hl=ar&entry=ttu
Reviews: 322 reviews

Name: سكترز
Link: https://www.google.com/maps/search/%D8%B3%D9%83%D8%AA%D8%B1%D8%B2/@24.8165746,46.609763099999995?authuser=0&hl=ar&entry=ttu
Reviews: 130 reviews

Name: مطعم موزرات
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D9%85%D9%88%D8%B2%D8%B1%D8%A7%D8%AA/@24.684061,46.687689?authuser=0&hl=ar&entry=ttu
Reviews: 68 reviews",https://swissbutter.com/,053 339 0630,,سويس باتر (المالك),https://www.google.com/maps/contrib/102590113568547492073,https://lh3.ggpht.com/p/AF1QipNRaz29SbUWQh5S4hmQPaiaVNQ2DorAuQLc4cIN=s1024,مطعم,"مطعم, مطعم شرائح اللحم",4.3,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد",PM2G+GG3 Century Corner، العليا، الرياض 12331,"السالمون, 88, خس, والسلطه, requeue ريكيو, لافا كيك, طلبنا, ضلع لحم البقر, مديم, لوروليه دو لانتركوت",https://www.google.com/maps/place/%D8%B3%D9%88%D9%8A%D8%B3+%D8%A8%D8%A7%D8%AA%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f036b608c0b01:0xc14ba92e8652d271!8m2!3d24.7013125!4d46.6763125!16s%2Fg%2F11s468c3pk!19sChIJAQuMYGsDLz4RcdJShi6pS8E?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJlYJgUxYDLz4RpaENOLfsAJs,ذا بوتشر شوب اند غريل,"Welcome to The Butcher Shop & Grill. In this legendary South African steakhouse, you’ll always find juicy, succulent steaks served with sides of laughter-filled conversations and unforgettable moments. You’ll also find the most discerning connoisseurs browsing through as we advise them on picking the finest cuts of meat at our specialty butchery and deli.",,8584,"Name: ستِيك هاوس
Link: https://www.google.com/maps/search/%D8%B3%D8%AA%D9%90%D9%8A%D9%83+%D9%87%D8%A7%D9%88%D8%B3/@24.693780399999998,46.697697299999994?authuser=0&hl=ar&entry=ttu
Reviews: 8612 reviews

Name: مطعم بورتر هاوس
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D9%88%D8%B1%D8%AA%D8%B1+%D9%87%D8%A7%D9%88%D8%B3/@24.694001999999998,46.6788305?authuser=0&hl=ar&entry=ttu
Reviews: 5283 reviews

Name: فيل بوتشري شوب
Link: https://www.google.com/maps/search/%D9%81%D9%8A%D9%84+%D8%A8%D9%88%D8%AA%D8%B4%D8%B1%D9%8A+%D8%B4%D9%88%D8%A8/@24.751313999999997,46.767376?authuser=0&hl=ar&entry=ttu
Reviews: 269 reviews

Name: تراس جريل
Link: https://www.google.com/maps/search/%D8%AA%D8%B1%D8%A7%D8%B3+%D8%AC%D8%B1%D9%8A%D9%84/@24.685801500000004,46.7121728?authuser=0&hl=ar&entry=ttu
Reviews: 151 reviews

Name: رير جريل
Link: https://www.google.com/maps/search/%D8%B1%D9%8A%D8%B1+%D8%AC%D8%B1%D9%8A%D9%84/@24.7126218,46.674908099999996?authuser=0&hl=ar&entry=ttu
Reviews: 4 reviews",http://butchershoparabia.com/ksa/?y_source=1_ODIzODUyNDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,011 288 5156,,ذا بوتشر شوب اند غريل (المالك),https://www.google.com/maps/contrib/111449099456518888898,https://lh3.ggpht.com/p/AF1QipNKyp41zFcIXhRCzDRHmK6umTEyg-ClVV_0On9t=s1024,مطعم شرائح اللحم,"مطعم شرائح اللحم, ملحمة, متجر منتجات لحوم, مطعم",4.7,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","Tahlia street, العليا، الرياض 12241","السير, ميلان, كريستيانو رونالدو, المقبلات, مقدم, اسبيتادا الدجاج, سلطة جبن الماعز, بيلتونغ, واقيو, بودنغ مالفا",https://www.google.com/maps/place/%D8%B0%D8%A7+%D8%A8%D9%88%D8%AA%D8%B4%D8%B1+%D8%B4%D9%88%D8%A8+%D8%A7%D9%86%D8%AF+%D8%BA%D8%B1%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2f031653608295:0x9b00ecb7380da1a5!8m2!3d24.7002944!4d46.6919626!16s%2Fg%2F1q66sz1xz!19sChIJlYJgUxYDLz4RpaENOLfsAJs?authuser=0&hl=ar&rclk=1,restaurants_riyadh
ChIJ7ZTktKcELz4RkrMny4NCgEw,برج الحمام,"Our journey began in 1979, Takhassussi Road in the neighborhood of King Faisal Specialist Hospital and Research Center in Riyadh, where we launched Burj Al Hamam Restaurant to offer the highly demanded traditional Lebanese cuisine.
With the sit-down and take-away concept becoming more popular, we opened an outlet on Orouba Road in the mid 1980’s. Building on its success and growth, an express take-away outlet was launched in the food court of the prestigious Al-Faisaliah shopping mall in 1999.
With its uncompromised quality and exceptional service, Burj Al Hamam’s name became synonymous with the finest Lebanese cuisine and catering, especially among Saudi nationals.",,7703,"Name: مطعم بيت الحمام
Link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D9%85/@24.6871649,46.6807482?authuser=0&hl=ar&entry=ttu
Reviews: 650 reviews

Name: Harat Lebanese Restaurant
Link: https://www.google.com/maps/search/Harat+Lebanese+Restaurant/@24.7320428,46.6486698?authuser=0&hl=ar&entry=ttu
Reviews: 468 reviews

Name: Ovun
Link: https://www.google.com/maps/search/Ovun/@24.712440599999997,46.6750858?authuser=0&hl=ar&entry=ttu
Reviews: 17 reviews

Name: المطبخ الرئيسي لمطعم برج الحمام
Link: https://www.google.com/maps/search/%D8%A7%D9%84%D9%85%D8%B7%D8%A8%D8%AE+%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A+%D9%84%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D8%B1%D8%AC+%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D9%85/@24.621149799999998,46.5225217?authuser=0&hl=ar&entry=ttu
Reviews: 9 reviews

Name: هون بيروت
Link: https://www.google.com/maps/search/%D9%87%D9%88%D9%86+%D8%A8%D9%8A%D8%B1%D9%88%D8%AA/@24.6919912,46.6709002?authuser=0&hl=ar&entry=ttu
Reviews: 1 reviews",https://branches.burjalhamamksa.com/takhassusi,9200 08460,,برج الحمام (المالك),https://www.google.com/maps/contrib/108940853528062401730,https://lh3.ggpht.com/p/AF1QipOw4f372la_5_OWJGHELiSOnA5nOizZqfzj6Df7=s1024,مطعم مأكولات لبنانية,مطعم مأكولات لبنانية,4.1,null,,"الاثنين, الثلاثاء, الأربعاء, الخميس, الجمعة, السبت, الأحد","شارع التخصصي،, المؤتمرات، الرياض 12711","المحشي, غنم, ام علي, خصوصية, صيادية, بدبس الرمان, الشكر, الكينوا, لازانيا, اسعاره",https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC+%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e2f04a7b4e494ed:0x4c804283cb27b392!8m2!3d24.6676643!4d46.6820411!16s%2Fg%2F1ptw12q_g!19sChIJ7ZTktKcELz4RkrMny4NCgEw?authuser=0&hl=ar&rclk=1,restaurants_riyadh
