name,address,rating
ADAM Coffee آدم كافيه,93C5+63J، الندى، الدمام 32273,4.7
22 كافيه,8576 شارع عثمان بن عفان، الواحة، الدمام 34252,4.4
Cafficha coffee,أبو هريرة، الحمراء، الدمام 31411,4.3
VERDE Coffee Lounge,طريق الملك فهد، الفيصلية، الدمام 32272,4.3
بكلو كافيه,"طريق الظهران الجبيل السريع، الفيصلية، 5052 Adh Dhahran Al, الدمام",4.3
Density Coffee Roasters | مقهى ومحمصة دينستي,شارع الأمير تركي، الكورنيش، الخبر 34412,4.5
كاريبو كوفي,"Khaleej Rd, الزهور، الدمام 32423",4.2
مقهى سُلاف | Soulaf Coffee,طريق الأمير سلطان، الراكة الجنوبية، الخبر 34611,4.4
Cafe Chai,"C4R8+5HC, Near Badr, الربيع، الدمام 32241",4.3
كفاف قهوة مختصة kefaf coffee,8550 8ا، الشاطئ الشرقي،، 3795،، الدمام 32411,4.5
كافيه سولاس,"Khaleej Rd, المحمدية، الدمام 32433",4.5
THERMOCUP | ثيرموكب,"زهير ابن ابي حليم, المنار، الدمام 32273",4.3
