name,address,rating
متحف جدة الإقليمي قصر خزام,F6F4+FMX، قصر خزام، النزلة اليمانية، جدة 22333,4.2
متحف عبدالرؤوف حسن خليل,8750 ريحانة الجزيرة، حي الفيصلية، 3150، جدة 23442,4.4
بيت البلد,F5QM+432، الكنداسه، البلد، جدة 22233,4.3
متحف بيت المتبولي,"3352 زقاق القمصاني, حي البلد، 6974, Al Balad District, جدة 22236",4.4
دارة صفية بن زقر,طريق الملك عبدالله، البغدادية الغربية، جدة 22234,4.3
تيم لاب بلا حدود,حمزه شحاته، البغدادية الغربية، جدة 22235,4.7
متحف الفنون المنزلية,الكلاء، الحمراء، جدة 23321,4.3
متحف درويش سلامة,"3029 الربوع العربيه, Al Hamra District، جدة 23321",4.4
حيّ جميل,"7829, Al Muhammadiyah District, جدة 23615",4.5
جدة القديمة البلد,3022-3107 زقاق بازان، البلد، جدة 22236,4.4
متحف العلوم والتقنية في الإسلام,Building 19، Academic Campus Engineering and Science Hall، ثول,4.8
معرض حافظ,Ahmad Ibn Abbas، الروضة، جدة 23435,4.5
متحف مدينة الطيبات العالمية للعلوم والمعرفة,"3170 ريحانة الجزيرة، الفيصلية، District, جدة 23442",4.4
متحف شقراء التراثي,شقراء 15518,4.6
