name,address,rating
القهوة الأفضل,3558 محمد الطويل، مشرفة، جدة 23332,4.1
سكريت Secret Cafe,طريق الامير متعب بن عبدالعزيز، الرحاب، جدة 23345,4.7
ذا هاوس كافيه,"Ground floor Mall of Arabia, النزهة، جدة 23532",4.4
تامبد,Arafat st، الأندلس، جدة 23325,4.1
مقهى طبقات,الأمل، النعيم، جدة 23526,4.4
بلاك بوشن,"الكيال, Street، جدة 23435",4.1
CLE CAFE,قاسم زينه، الروضة، جدة 23434,4.5
1/15 Neighborhood Cafe Al Yamamah,2472 نبع الاخلاص، السلامة، جدة 23437,4.3
مقهى ساره,البترجي فرعي، الزهراء، جدة 21512,4.3
ديجون كافيه,"بجوار دوار الجمل, طريق الملك عبدالعزيز، أبحر الجنوبية، جدة 23734",4.4
Honey’s Cafe,السلامة، جدة 23524,4.7
Muta's Cafe I موتاس كافيه,طريق الامير سلطان، المحمدية، جدة 23624,4.4
Mirage Coffee Shop,"AlTawbah، Ash Sharafiyah District, جدة 23216",4.4
Gathering,الكيال، الروضة، جدة 23434,4.2
Culture Cafe | كلتشر كافيه,طريق الكورنيش الفرعي، الحمراء، جدة 22231,4.3
HOOT Coffee House,"6116 Unit No: 2, As Zahra Dist, ahmad al attas, جدة",4.3
1/15 Neighborhood Cafe Rawdah,8706 الامام مالك، حي الروضة، 3226، جدة 23435,4.3
إلفين كافي,6587 الامير محمد بن عبدالعزيز، الأندلس، 2941، جدة 23322,4.0
ديرة كافية امليكس,طريق الملك عبدالعزيز، الشاطئ، جدة 21443,3.9
Alert Speciality Coffee,شارع فلسطين، الحمراء، جدة 23321,4.3
Losaan cafe,8231 المستشفى العام، 3447، الأندلس، جدة 23325,3.9
367 cafe,"Abdulrahman al dakhil, النهضة، جدة 23523",3.8
Offseason cafe,"Al moustaqbal almoudee street, الروضة، جدة 23432",5.0
برو 92,سعود الفيصل، الخالدية، جدة 23423,4.2
برو ٩٢,"Ar Rawdah, 8681 طريق الأمير سلطان، حي الروضة جدة 23435، Jeddah 23435 2107، جدة 23437",4.3
روشان كافية,F5PP+QPP، البلد،، جدة 22236,4.4
hemi coffee,7304 طريق الامير سلطان، الزهراء، Mujamah Siba طريق الامير سلطان،، جدة 23522,4.6
Locals Cafe,ابراهيم الجفالي، الأندلس، جدة 23326,4.3
المقهى الأول,3483 جبل القصبه، 6296، حي الصفا، جدة 23452,3.9
Aser Cafe - مقهى آسر,"Souwied Ibn Sakhr, المحمدية، جدة 23623",4.7
بارنز اكس,4242 شارع الأمير محمد بن عبدالعزيز، الروضة، جدة 23432,4.3
كوارتر كوفي,8165 شارع خبيب بن عدي الأنصاري الفرعي، الجوهرة، JJSA2475، 2475، جدة 22434,4.5
مقهى سولو,8183 Abdul Maqsud Khuja، الروضة، جدة 23435,4.1
أصحاب كافيه,"3177, An Naim District, 8154 Jeddah SA, جدة 23621",4.3
روتانة كوفي شوب,G594+6HJ، الحمراء، جدة 23212,3.8
Ora Cafe Lounge,G5X7+Q98، الفتيحي، الأندلس، جدة 23326,3.9
برووتس قهوة وكاكاو,Dist، Abdulrahman Aldakhil، النهضة، جدة 23523,4.4
كافية خمسون درجة,طريق الأمير سلطان، حي السلامة،، جدة 23425,4.4
