name,address,rating
درافت كافيه,"U Walk Mall, طريق الامير تركي بن عبدالعزيز الأول، جامعة الملك سعود، الرياض 12373",4.0
مقهى اندرينا,شارع ابي جعفر المنصور، غرناطة، الرياض 11564,4.6
ملموم كافيه,"3685 Al Urubah Branch Rd, Umm Al Hamam Al Gharbi, Riyadh 12328, الرياض 11111",4.6
ماستر پيس كافيه,"3022 طريق العروبة، الورود, 6140، الرياض 12251",4.6
دير يو,طريق مكة المكرمة الفرعي، السليمانية، الرياض 12621,4.2
أشجار كافيه,طريق الأمير محمد بن سلمان بن عبدالعزيز، الربيع، الرياض 13315,4.3
مقهى د.كيف,Uthman Bin Affan، Riyadh International Convention & Exhibition Center، الرياض,3.8
م٧١ كافيه,"Al Ulaya, 9330 2510, الرياض",4.5
Legit Cafe ليجت كافيه,طريق سعيد ابن زيد، قرطبة، الرياض 13248,4.6
إكسير البن,7157 Salem Bin Maaqil Al Nakheel Dist 4133، الرياض 12392,4.1
Bliss Cafe,"4, Prince Fahad Bin Mohammed Unit #, الرياض 13517",4.2
لاس كافية,"7763 Al Ulaya, 2052, الرياض 12222",4.6
هاف مليون,"3043 طريق الأمير محمد بن عبدالعزيز، 7876, الرياض",4.1
Terrace cafe,8289 Al Mubarak Ibn Abi Talib Al Aqiq Riyadh 13511 3880 المبارك بن ابي طالب، 3880، العقيق، الرياض 13511,4.0
جولت,"Al Urubah Rd, 12214، Kingdom Tower – Riyadh – Gate , 2239 Al Urubah Road، 9597، Riyadh 12214 9597, الرياض 12244",4.1
ليزي كات,"Laysen Valley, أم الحمام الغربي، الرياض 12329",4.4
بول كافيه,"الملك فهد، 7639 King Fahd Branch Rd, King Fahd Riyadh 12262 3168 طريق الملك فهد الفرعي، 3168، الرياض 12262",2.6
3rd Floor Coffee,4420 طريق الملك عبدالله، الحمراء، الرياض 13216,3.7
10AM CAFE,PM9Q+VJ2، طريق العروبة، أم الحمام الغربي، الرياض 12328,4.4
محمصة رووتس كافي هاوس,طريق ابي بكر الصديق، النرجس، الرياض 13323,4.4
تاي سوي,MMGG+C34، 3198 طريق مكة المكرمة الفرعي، المعذر الشمالي، الرياض 12312,4.3
جافا كافيه,إبراهيم المقدسي، الملز، الرياض 12629,4.2
