name,address,rating
متحف صقر الجزيرة للطيران,الطريق الدائري الشرقي، الملك عبدالله، مخرج 10، الرياض 12451,4.5
متحف القصر,MM5C+93W، الشرفية، الرياض 12724,4.7
متحف السنين الماضية,طريق الملك فيصل بن عبدالعزيز الدرعية، الرياض 13712,4.5
المتحف الوطني السعودي,"حي, 8745 طريق الملك سعود، 2722, King Faisal Road, الرياض",4.5
بيت الثقافة - واحة الملك سلمان | Culture House - King Salman Oasis,QPH4+WC، 8040 طريق عثمان بن عفان الفرعي، التعاون، الرياض 12478,4.2
ساموكا - متحف المملكة العربية السعودية للفن المعاصر,"6891، الدرعية الجديدة، 2308, Saudi Arabia, الرياض 13732",4.7
Big Fun Museum,"Park, شارع الأمين عبدالله العلي النعيم، King Abdullah, الرياض 12836",4.0
Old Towers of Riyadh,JPJ8+F4X، الديرة، الرياض 12634,5.0
متحف تاريخ التقنية,RP84+9C4، جامعة الامام محمد بن سعود الاسلامية، الرياض 13318,4.8
الصالة المؤقتة للمتحف السعودي للفن المعاصر في جاكس,PGWP+639، الدرعية الجديدة، الدرعية 13732,4.4
تراثيات المملكة - للتحف والهدايا التراثية,7923 شارع التخصصي، المحمدية، الرياض 12363,4.9
Historic Diriyah Fort,PHMG+C84، الطريف، الدرعية 13711,4.7
فن السبع الرطب,طريق الأمير محمد بن سعد بن عبدالعزيز، الملقا، الرياض 13521,4.7
معرض نايلا للفنون,"شارع التخصصي، المعذر الشمالي، Bldg 247, #2، الرياض 11564",4.5
قصر المربع التاريخي,2722 طريق الملك سعود، المربع، الرياض 12631,4.6
صالة الأمير فيصل بن فهد للفنون,"Dist, 9346 طريق الملك سعود، النموذجية، 4033, الرياض 12731",4.7
تراثيات المملكة,"6892 شارع الثميري، 3271, الرياض 12634",4.9
International Museum of Ancient Civilizations,MJ8G+JMR، الهدا، الرياض 12912,5.0
معرض مشكاة التفاعلي,"بوابة A، العقارية بلازا طريق العليا العام طريق العليا العام ,العليا، الرياض",4.5
أحلام جاليري,شارع العليا، Al Mousa Centre، الرياض 12221,4.8
