name,address,rating
Food Star Restaurant ️,"EMDA4886، 4886 الامام ابي حنيفه، 6693، حي الخليج،, الدمام 32425",4.8
كم تو ماما,النهضة، الدمام 34243,4.5
مطعم ماكس ايتري,الشارع الثامن عشر، السلام، الدمام 32416,4.8
مطعم قلعة روما,البادية، الدمام 32243,4.2
مطعم رويال مليبار,"2055 الثامن عشر،طريق الكورنيش،, السلام، الدمام 32416",3.9
مطعم سد مأرب للأكلات الشعبية فرع الدمام,شارع الملك سعود بن عبدالعزيز، الجلوية، حي، الدمام,4.4
OLIVE DAMMAM RESTAURANT,Dammam Seiko,4.1
مطعم دافينشي الايطالي,"sheraton dammam hotel, المزروعية، الدمام 32414",4.1
امبريلا,"حي, EDSA7364, 7364 طريق الظهران الجبيل الفرعي، الندى، 5260, الدمام 32271",4.3
زاد السلطان,شارع عثمان بن عفان، النزهة، الدمام 32251,4.1
مطعم بيت مسك,طريق الأمير محمد بن فهد بن عبدالعزيز، الشاطئ الشرقي، الدمام 32411,3.9
جيميز,3543 طريق الملك فهد، المنار، الدمام 32265,4.5
مطعم ومقهى بيتش بارك,طريق الأمير محمد بن فهد بن عبدالعزيز، الشاطئ الشرقي، الدمام 32413,4.3
ستيك هاوس,طريق الأمير محمد بن فهد بن عبدالعزيز، الشاطئ الغربي، الدمام 32413,4.2
La Tavola Italian Restaurant مطعم لاتاڤولا الايطالى,"Othaim mall, عبدالله فؤاد، الدمام 32236",4.9
مطعم المذاق العثماني,شارع المرجان، الشاطئ الشرقي، الدمام 32412,4.5
تاج الدمام,7893 15، 3958، الدمام 32242,4.0
مطعم فتة وصنوبر الدمام,الشارع الثامن عشر، السلام، الدمام 32253,4.1
مطعم بيت الروبيان,الحمراء، طريق الخليج العربي،، الدمام,4.1
مطعم تاج الدمام,المحمدية، الدمام 32432,3.8
Bay leaf restaurant,C4P4+M78، العدامة، الدمام 32242,3.8
New Zaika Restaurant,2308 الخامس عشر، 7483، الدواسر، الدمام 32416,3.7
مطعم التنور الهندي,الزهور،،، الدمام 32423,4.3
Rishi restaurant தமிழ் உணவகம்,8238 3726 شارع 10، مدينة العمال، الدمام 32253,3.9
مطعم الافق,"9th Street, السوق، الدمام 32242",4.0
Moma’s Urban Eatery,"البدائع، الحمراء، 5A , hilal bin، الدمام",4.7
مطعم اناركلي,F35P+PXM، الحمراء، الدمام 32422,4.0
مطعم العطلات الهندي,"17 Street, السوق، الدمام 32246",4.0
مطعم الجرة الشعبية - الدمام,شارع الملك عبدالعزيز، المحمدية، الدمام 32433,4.4
Ayesha Restaurant and Sweets مطعم و حلويات عائشه,C4P4+8J6، الشارع العاشر، العدامة، الدمام 32242,4.1
كودو,"EADA7725, 3377 طريق الملك سعود, 7725, الصفا, الدمام 34222",4.2
بالكوني,الشاطئ مول، الدمام,4.2
‏كودو,Near Sasco Station، النور، الدمام 32445,3.8
جيميز كيلر الدمام Jimmy's Killer Prawns Dammam,"DIST, 7402 الشارع الثامن و العشرون، العزيزية، الدمام 32423",4.5
Hindi restaurant,"3740 As Sakan Ibn Rafi, 8497, الدمام 32242",4.0
مطعم نثري الشرقية,شارع الإمام محمد بن سعود، الفيصلية، الدمام 31431,4.0
ناندوز,"Ground Level, Al Nakheel Mall, شارع عبدالرحمن بن عوف، المنار، الدمام 32274",4.4
مطعم سنجار - الدمام,شارع أبو بكر الصديق، المنار، الدمام 32273,4.0
مطعم أنجيك,حي، طريق الملك سعود بن عبدالعزيز، النورس، الدمام 32214,4.3
مطعم البدر,7992 التاسع، العدامة، الدمام 32242,4.1
كباب البشاورى الدمام العدامه فرع,"9th Street, العدامة، الدمام 32242",4.1
اوشيانا,6656 الملك عبد الله، 2266، الشاطئ الغربي، الدمام 32412,3.7
ريزينج كينز الدمام,"Centro Khaleej - Drive thru, العزيزية، الدمام 32424",4.5
Awtar Restaurant,"Hotel & Convention Centre, Sheraton Dammam, طريق الأمير محمد بن فهد بن عبدالعزيز، المزروعية، الدمام 32414",4.1
Rose Garden Restaurant,"C4P4+MH8 Adama Near Saudi Post, العدامة، الدمام 32242",3.9
RedPot multi Cuisine Family Restaurant,5126 شارع الملك خالد، الربيع، الدمام 32241,4.4
Rummaan Dammam Hyderabadi Restaurant,"حي, 2168 7218 Al Amir Saud Ibn Jalawi, الدواسر، الدمام 32416",4.1
تشيزي كراب,"EADA3834، 3834 خالد بن الوليد, 7657 حي, الراكة الشمالية، الدمام 34225",4.8
مطعم ريد تابل فرع عبد الله فؤاد,"Abdullah Fouad, Near Stadium Signal, 8931 طريق الأمير محمد بن فهد بن عبدالعزيز، الاسكان، الدمام 32236",3.9
باستيل كافيه,"Al Mazruiyah, 32414, Dammam 32414، الدمام",4.1
مطعم ماليبار,مدينة العمال، الدمام 32253,3.8
مطعم ميجانا MijanaReastaurant,7990 طريق الأمير محمد بن فهد بن عبدالعزيز، البديع، الدمام 32415,4.0
Paragon Family Restaurant,C3VW+72C، شارع الملك سعود بن عبدالعزيز، الخليج، الدمام 32425,3.7
القرية الشعبية بالدمام,"Corniche Walk Way, الشاطئ الغربي، الدمام 32411",4.1
مطعم كازا,العزيزية، الدمام 32211,4.2
بوشاك,"Al Nakheel Mall, شارع زيد بن حارثة، المنار، الدمام 32274",4.0
SriLankan Taste of Serendib Restaurant,4986 شارع الملك خالد، الربيع، الدمام 32241,4.3
Mezbaan Shalimar Restaurant,شارع الملك خالد، الربيع، الدمام 32241,3.8
مطعم الصفصاف,طريق الأمير نايف بن عبدالعزيز، المحمدية، الدمام 32432,4.0
مطعم زيتون الشرق,"شارع الملك خالد, Ar Rabee، الدمام 32241",3.9
Regency Restaurant,شارع الملك خالد، غرناطة، الدمام 32245,4.2
مطعم لفانا,الشاطئ الشرقي، 8334 الاشرعه حي، الدمام,3.9
"مطعم سمك ورز، الدمام طريق الملك فهـد (Fish & Rice Restaurant, King Fahad Road, Dammam)",طريق الملك فهد، أحد، الدمام 32263,4.7
Modon Alam Pakistani Restaurant,C582+55V، الخالدية الشمالية، الدمام 32231,4.1
لوت,"شارع عمر بن الخطاب، 9086 3734 Umar Ibn, الدمام",4.2
مطعم بيت نهاري,"8008 حذيفة بن اوس, Al-Adamah Prince Hothafia Bin Awes 10th Street, الدمام 32242",4.0
Aliki Restaurant,شارع عمر بن الخطاب، الفيصلية، الدمام 32271,4.6
حارة ورد الدمام | Harat Ward Dammam,الشارع الثامن عشر،، السلام، الدمام 32416,4.8
پول بايكري,النخيل مول، المنار، الدمام 32274,4.4
شركة مطاعم قصر المنتزه- الدمام,شارع الأمير نايف، العزيزية، الدمام 32424,4.1
Lumiere,طريق الأمير محمد بن فهد بن عبدالعزيز، الشاطئ الشرقي، الدمام 32413,4.2
Grillies Restaurant Dammam,"Building No 8841, Street No:15, الضباب، الدمام 32262",4.3
مطعم هوت تيست برجر Hot Taste Burger,3410 حي، EMAE7381، 7381 طريق الامير محمد بن فهد، الدمام 32413,4.4
Madeena Restaurant,2619 داوود الانطاكي، العنود، الدمام 32427,3.6
سولت,"3543 8 A, المنار، الدمام 32274",4.6
شرمبشاك,طريق الملك فهد، الفيصلية، الدمام 32272,4.7
شيليز,شارع الأشرعة، المزروعية، الدمام 32414,3.9
ميس القمر الدمام المباركيه,F3CR+6X7، الحمراء، الدمام 32422,3.8
Mumtaz Restaurant,7345 الشارع الحادي عشر، العدامة، الدمام 32242,4.2
مطعم حورية الشرقية للمأكولات البحريه,شارع عمر بن الخطاب، طريق، الدمام,4.6
ذا اكسيت داينر,2146 طريق الأمير محمد بن فهد بن عبدالعزيز، مدينة العمال، الدمام 32253,4.0
مطعم أصالة الهند,"Khaleej Rd, Mubarakiya, الدمام 32422",3.6
مطعم شجرة الدر,"8634 Khaleej Rd, حي السلام, EMAA2441, 2441, الدمام 32416",4.8
برجر كنج,"النزهة، Prince Mohammed Bin Fahad Rd, Opposite Othaim Mall، الدمام 32252",3.8
Asia restaurant dammam,"7715 Fatimah AZ Zahra, مدينة العمال، 4076, الدمام 32253",4.0
Ustads Dosa Hub,C4R8+433، شارع الأمير محمد، الربيع، الدمام 32241,4.2
مطعم الحديقة الصينية,شارع الملك خالد، الطبيشي، الدمام 32233,3.6
Shalimar Restaurant,C3RX+RR4، السوق، الدمام 32242,4.0
مطعم ذا فيو,طريق الملك فهد، العدامة، الدمام 31441,3.9
Good food,8989 16، 2359، الأثير، الدمام 32248,4.2
كودو,8200 شارع الخلافة، هجر، EDMA4900، 4900، الدمام 34251,4.0
مطعم شيزان الهندي,"F35V+PH2 Near Sama Deeraty, Khaleej Rd, الحمراء، الدمام 32422",3.5
"Thalassery Restaurant, Dammam",C4Q2+Q2Q، السوق، الدمام 32242,3.8
SHAYAN RESTURANT,"7293 شارع الإمام محمد بن سعود, حي المنار،, 4224، الدمام 32274",4.3
دروازة الصيّاد البحري للمأكولات البحرية,أبو هريرة، الزهور، الدمام 32423,4.0
كيلو كباب | KILO KABAB,"طريق الأمير محمد بن فهد بن عبدالعزيز، تقاطع, شارع المحار, الدمام 36413",4.2
دايت كلاسيكو الدمام حي النور,بن عبد العزيز، شارع الملك سعود، الدمام,4.5
Mazali Restaurant (Kerala),"5425 3, الربيع، 8187, الدمام 32241",3.9
مطعم الفوار,شارع فاطمة الزهراء، حي إسكان الدمام،,4.1
Al Waqas Restaurant,"6486 5142 Al Imam Al Shafi, الخليج، الدمام 32425",4.0
مطعم علوش,حفص النخعي، حي النور، الدمام 32445,4.4
Restaurant Johor Al Dammam,"8321 1،, الربيع، 5577, الدمام 32241",4.0
مطاعم ليالي زمان الدمام,شارع الملك سعود بن عبدالعزيز، المزروعية، الدمام 32414,4.5
مطعم برجر كينج حي الشاطئ الدمام,Near Civil Defense، طريق الأمير محمد بن فهد بن عبدالعزيز، الشاطئ الشرقي، الدمام 32413,4.1
Casapasta | كازاباستا,"Khaleej Rd، 2nd Floor, Marina Mall، الدمام",4.1
مطعم شيخدار - الدمام,طريق الملك عبدالله الفرعي، المنار، الدمام 32275,4.4
مطاعم الدمام البخاري الممتاز,"C4RG+32C حي, شارع الملك سعود بن عبدالعزيز، المزروعية، الدمام 32414",4.1
مطعم ليوان الدمام,F336+P48، شارع الملك عبدالعزيز، المحمدية، الدمام 32433,3.9
