name,address,rating
جيميز إتاليان,الملك عبد العزيز، الرياض 12411,4.6
TOKYO - Al Wurud,طريق العروبة، الورود، الرياض 12245,4.4
ميازو,Musad Bin Jalawi، السليمانية، الرياض 12244,4.3
مطعم ميزو,6689، 4100 الطريق الدائري الشمالي، الغدير، الرياض 13311 6689,4.4
ياواتشا,طريق الأمير سلطان بن عبدالعزيز، العليا، الرياض 12212,4.7
لوسين,طريق الأمير محمد بن عبدالعزيز، Centria Mall Olaya Street intersection with، الرياض,4.1
زافران,"الملك عبد العزيز، 3224, الرياض 12411",4.8
سويس باتر,PM2G+GG3 Century Corner، العليا، الرياض 12331,4.3
ذا بوتشر شوب اند غريل,"Tahlia street, العليا، الرياض 12241",4.7
برج الحمام,"شارع التخصصي،, المؤتمرات، الرياض 12711",4.1
زافران,"طريق مكة المكرمة الفرعي، أم الحمام الشرقي، Turki Square, Ground Floor",4.3
Sultan's Steakhouse Riyadh,طريق الأمير تركي بن عبدالعزيز الأول، جامعة الملك سعود,4.2
ناندوز,"ذا فيو مول، Gate 7, الملك عبد العزيز، Ali Izat Bighufich St Level 1, الرياض 12411",4.8
مطعم ورد,طريق 2163 طريق العروبة، المعذر الشمالي، الرياض 12334,4.2
وايلد فاير,RDC Hotel & Convention، Crowne Plaza، الرياض,4.7
إيتالي,الملك الناصر، السليمانية، الرياض 12223,4.5
ماما نورة,طريق الملك عبدالله، الرحمانية، الرياض 12343,4.2
روكا,5140 طريق الأمير محمد بن عبدالعزيز، السليمانية، الرياض 12243,4.4
كرَم بيروت,"Opp. Lamborghini Showroom،, طريق الأمير محمد بن عبدالعزيز،, السليمانية، الرياض 12223",4.1
56 آڤنيو داينر,near the KAFD، شارع العليا، العليا، الرياض 11433,4.1
تاي سوي,MMGG+C34، 3198 طريق مكة المكرمة الفرعي، المعذر الشمالي، الرياض 12312,4.3
مطعم روما,شعبة بن الحجاج، العليا، الرياض 12241,4.3
مطعم لوسين,الطريق الدائري الشمالي الفرعي، النخيل، الرياض 12385,4.0
زعتر وزيت,"2577 Prince Muhammad Ibn Abd Al Aziz, Al Olaya Riyadh 12222، الرياض 11564",4.2
نوزومي,"7448 طريق الملك فهد، العليا، 4255, الرياض 12331",4.4
ذا غلوب,طريق الملك فهد، العليا، الرياض 11491,4.0
لوس بانديدوس,"طريق الأمير محمد بن عبدالعزيز، Prince Abdulaziz Ibn Musaid Ibn Jalawi St, الرياض",4.3
السرايا,طريق الأمير سلطان بن عبدالعزيز، العليا، الرياض 12221,4.0
يوكاري,شارع العليا، العليا، الرياض 12241,4.2
ديشاني چپلي كباب,المؤذن، الوزارات، الرياض 12624,4.1
كرم بيروت,Prince Turki Bin Awwal، المحمدية، الرياض 12362,4.1
مطعم الرياض الصيني,PM6W+HQQ، عبدالله بن رواحة، السليمانية، الرياض 12242,3.9
مطعم كومار,"العقيق، Riyadh Park Mall, Gate2, الرياض 13511",4.3
دقيق وحطب,7717 طريق الأمير سلطان بن عبدالعزيز، السليمانية، الرياض 12232,4.4
ريد شيلي,"شارع الأمير عبدالرحمن بن عبدالعزيز، المربع، Opposite Crowne Plaza Riyadh Palace Hotel, الرياض 12628",4.0
كويا,"8710 شارع الأمير عبدالعزيز بن مساعد بن جلوي، السليمانية, 4237، الرياض 12223",4.4
مكان ألماس,Near National Care Hospital، الهواري، الملز، الرياض 12831,4.1
جيمي الايطالي,"Al Nakheel Mall, المغرزات، الرياض 12483",4.4
بيتزا روما,رقم 28، العليا، الرياض 12211,4.4
